,"Estimate; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family",Estimate; RELATIONSHIP - Spouse,Estimate; RELATIONSHIP - Nonrelatives,Estimate; RELATIONSHIP - Nonrelatives - Unmarried partner,Estimate; MARITAL STATUS - Divorced,Estimate; MARITAL STATUS - Never married.1,Estimate; GRANDPARENTS - Who are female,"Estimate; SCHOOL ENROLLMENT - Nursery school, preschool",Estimate; SCHOOL ENROLLMENT - Elementary school (grades 1-8),Estimate; SCHOOL ENROLLMENT - College or graduate school,Estimate; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),"Estimate; EDUCATIONAL ATTAINMENT - Some college, no degree",Estimate; EDUCATIONAL ATTAINMENT - Associate's degree,Estimate; VETERAN STATUS - Civilian veterans,Estimate; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Same county,Estimate; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county - Same state,Estimate; PLACE OF BIRTH - Native - Born in United States - State of residence,Estimate; PLACE OF BIRTH - Native - Born in United States - Different state,Estimate; HOUSING OCCUPANCY - Homeowner vacancy rate,Estimate; HOUSING OCCUPANCY - Rental vacancy rate,"Estimate; UNITS IN STRUCTURE - 1-unit, detached","Estimate; UNITS IN STRUCTURE - 1-unit, attached",Estimate; UNITS IN STRUCTURE - 3 or 4 units,Estimate; UNITS IN STRUCTURE - 5 to 9 units,Estimate; UNITS IN STRUCTURE - 10 to 19 units,"Estimate; UNITS IN STRUCTURE - Boat, RV, van, etc.",Estimate; YEAR STRUCTURE BUILT - Built 2010 or later,Estimate; YEAR STRUCTURE BUILT - Built 1990 to 1999,Estimate; YEAR STRUCTURE BUILT - Built 1980 to 1989,Estimate; YEAR STRUCTURE BUILT - Built 1970 to 1979,Estimate; YEAR STRUCTURE BUILT - Built 1960 to 1969,Estimate; YEAR STRUCTURE BUILT - Built 1939 or earlier,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 2010 or later,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 2000 to 2009,Estimate; VEHICLES AVAILABLE - 1 vehicle available,Estimate; VEHICLES AVAILABLE - 3 or more vehicles available,Estimate; SELECTED CHARACTERISTICS - Lacking complete plumbing facilities,Estimate; SELECTED CHARACTERISTICS - Lacking complete kitchen facilities,"Estimate; VALUE - $150,000 to $199,999","Estimate; VALUE - $200,000 to $299,999","Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - $1,000 to $1,499",Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - $300 to $399,Estimate; SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) - 35.0 percent or more,Estimate; SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) - Not computed,Estimate; SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) - Less than 10.0 percent,Estimate; SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) - Not computed.1,Estimate; GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) - Not computed,Estimate; EMPLOYMENT STATUS - In labor force - Armed Forces,Estimate; EMPLOYMENT STATUS - In labor force - Civilian labor force.1,Estimate; EMPLOYMENT STATUS - All parents in family in labor force,"Estimate; COMMUTING TO WORK - Car, truck, or van -- carpooled",Estimate; COMMUTING TO WORK - Other means,Estimate; COMMUTING TO WORK - Mean travel time to work (minutes),Estimate; OCCUPATION - Service occupations,"Estimate; OCCUPATION - Natural resources, construction, and maintenance occupations","Estimate; INDUSTRY - Agriculture, forestry, fishing and hunting, and mining",Estimate; INDUSTRY - Manufacturing,Estimate; INDUSTRY - Wholesale trade,Estimate; INDUSTRY - Retail trade,"Estimate; INDUSTRY - Transportation and warehousing, and utilities","Estimate; INDUSTRY - Educational services, and health care and social assistance","Estimate; INDUSTRY - Arts, entertainment, and recreation, and accommodation and food services","Estimate; INDUSTRY - Other services, except public administration",Estimate; INDUSTRY - Public administration,Estimate; CLASS OF WORKER - Self-employed in own not incorporated business workers,Estimate; CLASS OF WORKER - Unpaid family workers,Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - With Social Security - Mean Social Security income (dollars),Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - With Supplemental Security Income,Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - With Supplemental Security Income - Mean Supplemental Security Income (dollars),Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - With cash public assistance income - Mean cash public assistance income (dollars),"Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - $50,000 to $74,999.1",Estimate; HEALTH INSURANCE COVERAGE - No health insurance coverage.1,Estimate; HEALTH INSURANCE COVERAGE - In labor force: - Employed: - With health insurance coverage - With public coverage,Estimate; HEALTH INSURANCE COVERAGE - In labor force: - Unemployed: - With health insurance coverage,Estimate; HEALTH INSURANCE COVERAGE - In labor force: - Unemployed: - With health insurance coverage - With private health insurance,Estimate; HEALTH INSURANCE COVERAGE - Not in labor force: - With health insurance coverage - With private health insurance
0,10208.0,128613.0,22867.0,9963.0,31691.0,74872.0,6906.0,9184.0,75522.0,38839.0,154868.0,104202.0,35076.0,60852.0,74999.0,11211.0,468685.0,199148.0,2.7,9.6,224053.0,4038.0,9223.0,15023.0,10326.0,667.0,5595.0,58211.0,48203.0,58204.0,33516.0,14218.0,72125.0,102504.0,88732.0,55554.0,1705.0,2103.0,30683.0,26046.0,37361.0,19093.0,23820.0,836.0,31722.0,1644.0,12673.0,1555.0,151492.0,32188.0,24936.0,3560.0,24.9,50539.0,30808.0,4740.0,32599.0,6726.0,39691.0,14268.0,61978.0,27174.0,15308.0,11049.0,14029.0,503.0,16740.0,17182.0,8051.0,2238.0,36347.0,10585.0,12860.0,15325.0,9611.0,54747.0
1,10208.0,128613.0,22867.0,9963.0,31691.0,74872.0,6906.0,9184.0,75522.0,38839.0,154868.0,104202.0,35076.0,60852.0,74999.0,11211.0,468685.0,199148.0,2.7,9.6,224053.0,4038.0,9223.0,15023.0,10326.0,667.0,5595.0,58211.0,48203.0,58204.0,33516.0,14218.0,72125.0,102504.0,88732.0,55554.0,1705.0,2103.0,30683.0,26046.0,37361.0,19093.0,23820.0,836.0,31722.0,1644.0,12673.0,1555.0,151492.0,32188.0,24936.0,3560.0,24.9,50539.0,30808.0,4740.0,32599.0,6726.0,39691.0,14268.0,61978.0,27174.0,15308.0,11049.0,14029.0,503.0,16740.0,17182.0,8051.0,2238.0,36347.0,10585.0,12860.0,15325.0,9611.0,54747.0
2,9761.0,120463.0,28731.0,11296.0,31335.0,75432.0,5883.0,10067.0,73351.0,44066.0,151411.0,96205.0,35712.0,64905.0,52925.0,28388.0,476557.0,179561.0,2.0,5.6,206766.0,6522.0,9692.0,13812.0,6340.0,188.0,5721.0,59175.0,47840.0,59405.0,34977.0,18233.0,69836.0,100453.0,94975.0,53468.0,860.0,2416.0,23782.0,23554.0,31354.0,19829.0,21046.0,672.0,34542.0,768.0,10882.0,6519.0,150433.0,31290.0,23673.0,3448.0,23.3,48244.0,28959.0,5764.0,35505.0,8554.0,35522.0,17270.0,60050.0,22718.0,15664.0,23135.0,15967.0,392.0,15886.0,19289.0,8575.0,2259.0,33920.0,6125.0,15323.0,12747.0,7999.0,55674.0
3,9868.0,130493.0,35475.0,9371.0,33277.0,73131.0,6384.0,11332.0,71882.0,61615.0,147007.0,100074.0,32890.0,58506.0,63601.0,29586.0,464499.0,210550.0,2.4,6.9,209407.0,4174.0,10083.0,10040.0,8334.0,391.0,7445.0,62917.0,50900.0,48311.0,31277.0,17083.0,73116.0,98898.0,87567.0,71172.0,653.0,1551.0,27439.0,27380.0,36850.0,21051.0,22108.0,742.0,35194.0,1556.0,13909.0,2924.0,154288.0,33081.0,26039.0,3223.0,25.1,44021.0,31784.0,3050.0,46524.0,6447.0,33201.0,15186.0,67858.0,22562.0,11155.0,18679.0,14533.0,440.0,15573.0,18281.0,8668.0,3134.0,35881.0,3042.0,15945.0,15350.0,10491.0,69350.0
4,11880.0,136451.0,25312.0,8657.0,34585.0,57811.0,5940.0,7021.0,72830.0,30522.0,159138.0,98798.0,38295.0,50355.0,59480.0,22962.0,518636.0,138308.0,2.1,4.9,223711.0,1352.0,5965.0,7014.0,3507.0,237.0,3022.0,53745.0,49251.0,63254.0,37824.0,19809.0,56211.0,92874.0,82537.0,66735.0,773.0,1602.0,23959.0,21613.0,26768.0,22201.0,20444.0,651.0,40224.0,1238.0,15093.0,17.0,136396.0,28107.0,30004.0,2223.0,25.6,42039.0,32363.0,7762.0,50985.0,6781.0,31896.0,16144.0,58698.0,18895.0,15178.0,11576.0,17487.0,396.0,16427.0,18743.0,8517.0,3617.0,35737.0,7324.0,10744.0,12509.0,8311.0,58834.0
5,10983.0,139149.0,24082.0,9987.0,29522.0,72152.0,5651.0,8342.0,74316.0,50765.0,129821.0,102529.0,31673.0,61123.0,55765.0,17901.0,427389.0,227622.0,3.1,8.6,221753.0,6265.0,11939.0,15198.0,10710.0,359.0,6398.0,56875.0,50158.0,43420.0,45086.0,11895.0,70302.0,106664.0,85429.0,68630.0,1053.0,900.0,36125.0,32326.0,40338.0,18217.0,21013.0,288.0,38008.0,799.0,8451.0,1373.0,158809.0,30712.0,26385.0,3461.0,22.9,52041.0,28515.0,3868.0,41993.0,6020.0,36586.0,14951.0,60123.0,26855.0,13799.0,22183.0,18772.0,374.0,16698.0,13455.0,8087.0,2340.0,34778.0,4905.0,16292.0,15484.0,12435.0,58790.0
6,9311.0,143545.0,22564.0,7611.0,28574.0,66379.0,4519.0,11791.0,73615.0,41045.0,115167.0,105251.0,34312.0,48716.0,47727.0,27291.0,481658.0,167253.0,2.1,7.7,209851.0,10711.0,4231.0,10745.0,13464.0,70.0,3537.0,66724.0,42543.0,49290.0,29063.0,12461.0,64677.0,108659.0,77425.0,65766.0,644.0,1470.0,34631.0,38992.0,40809.0,17568.0,26262.0,676.0,34269.0,803.0,7398.0,272.0,154577.0,30701.0,27879.0,1881.0,26.3,44937.0,28349.0,3191.0,29638.0,10357.0,35469.0,19531.0,71177.0,24924.0,17182.0,14784.0,16106.0,876.0,17708.0,10735.0,9003.0,2724.0,34971.0,5573.0,11805.0,10988.0,8842.0,63785.0
7,11067.0,84790.0,29925.0,9394.0,28908.0,118108.0,8847.0,10368.0,64961.0,63327.0,146131.0,98873.0,30597.0,40489.0,73302.0,25188.0,548270.0,113244.0,3.2,9.9,205315.0,4857.0,13571.0,18858.0,20766.0,91.0,3794.0,38538.0,40817.0,58320.0,49613.0,32381.0,68708.0,90504.0,98759.0,45582.0,1544.0,2156.0,19978.0,12097.0,31265.0,19895.0,23476.0,856.0,24312.0,2340.0,15165.0,573.0,154080.0,34607.0,27918.0,2726.0,23.2,56047.0,21644.0,5894.0,29451.0,5824.0,31932.0,14802.0,66311.0,25489.0,14887.0,11236.0,13335.0,161.0,14884.0,30343.0,8567.0,2262.0,26069.0,8056.0,18752.0,20515.0,11721.0,58815.0
8,13531.0,123493.0,46900.0,19715.0,34734.0,78101.0,4728.0,10865.0,81495.0,51604.0,130277.0,128720.0,38287.0,71831.0,73247.0,17366.0,295280.0,367622.0,1.7,5.6,196351.0,23251.0,18913.0,15892.0,8128.0,351.0,3074.0,45264.0,75573.0,75242.0,29477.0,5126.0,81989.0,99188.0,84372.0,51181.0,11580.0,9325.0,21811.0,52997.0,24297.0,5624.0,24085.0,158.0,25284.0,97.0,6053.0,15755.0,175699.0,38022.0,47473.0,21165.0,19.6,67497.0,41592.0,19273.0,13336.0,5482.0,37543.0,25838.0,85671.0,32832.0,14624.0,41247.0,22407.0,546.0,15122.0,11572.0,8990.0,4337.0,32137.0,25957.0,25370.0,13040.0,8353.0,45461.0
9,13935.0,132336.0,45131.0,20288.0,38645.0,77549.0,3315.0,6727.0,71266.0,60135.0,103725.0,144703.0,45653.0,83262.0,96739.0,12777.0,257460.0,379378.0,2.2,9.2,201551.0,27031.0,13460.0,12301.0,17708.0,1172.0,3368.0,60678.0,62226.0,72846.0,33192.0,10225.0,101472.0,120958.0,118906.0,47494.0,614.0,2485.0,36827.0,31802.0,37774.0,15063.0,27302.0,1140.0,32043.0,1187.0,7000.0,9889.0,161031.0,27559.0,30298.0,11129.0,22.2,68577.0,26237.0,4717.0,19706.0,4426.0,32418.0,12691.0,79079.0,32031.0,17558.0,23051.0,21173.0,480.0,17458.0,15330.0,9119.0,3156.0,36896.0,17896.0,30527.0,16683.0,7663.0,53987.0
