,Estimate; MARITAL STATUS - Never married.1,Estimate; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Same county,Estimate; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county - Same state,Estimate; HOUSING OCCUPANCY - Rental vacancy rate,"Estimate; UNITS IN STRUCTURE - 1-unit, attached","Estimate; UNITS IN STRUCTURE - Boat, RV, van, etc.",Estimate; SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) - Not computed,Estimate; EMPLOYMENT STATUS - In labor force - Armed Forces,"Estimate; INDUSTRY - Agriculture, forestry, fishing and hunting, and mining",Estimate; INDUSTRY - Manufacturing,"Estimate; INDUSTRY - Transportation and warehousing, and utilities",Estimate; INDUSTRY - Public administration,Estimate; CLASS OF WORKER - Unpaid family workers,Estimate; HEALTH INSURANCE COVERAGE - Not in labor force: - With health insurance coverage - With private health insurance
0,74872.0,74999.0,11211.0,9.6,4038.0,667.0,836.0,1555.0,4740.0,32599.0,14268.0,11049.0,503.0,54747.0
1,74872.0,74999.0,11211.0,9.6,4038.0,667.0,836.0,1555.0,4740.0,32599.0,14268.0,11049.0,503.0,54747.0
2,75432.0,52925.0,28388.0,5.6,6522.0,188.0,672.0,6519.0,5764.0,35505.0,17270.0,23135.0,392.0,55674.0
3,73131.0,63601.0,29586.0,6.9,4174.0,391.0,742.0,2924.0,3050.0,46524.0,15186.0,18679.0,440.0,69350.0
4,57811.0,59480.0,22962.0,4.9,1352.0,237.0,651.0,17.0,7762.0,50985.0,16144.0,11576.0,396.0,58834.0
5,72152.0,55765.0,17901.0,8.6,6265.0,359.0,288.0,1373.0,3868.0,41993.0,14951.0,22183.0,374.0,58790.0
6,66379.0,47727.0,27291.0,7.7,10711.0,70.0,676.0,272.0,3191.0,29638.0,19531.0,14784.0,876.0,63785.0
7,118108.0,73302.0,25188.0,9.9,4857.0,91.0,856.0,573.0,5894.0,29451.0,14802.0,11236.0,161.0,58815.0
8,78101.0,73247.0,17366.0,5.6,23251.0,351.0,158.0,15755.0,19273.0,13336.0,25838.0,41247.0,546.0,45461.0
9,77549.0,96739.0,12777.0,9.2,27031.0,1172.0,1140.0,9889.0,4717.0,19706.0,12691.0,23051.0,480.0,53987.0
10,77549.0,96739.0,12777.0,9.2,27031.0,1172.0,1140.0,9889.0,4717.0,19706.0,12691.0,23051.0,480.0,53987.0
11,94004.0,95836.0,11613.0,9.2,8811.0,1145.0,622.0,1912.0,8872.0,17867.0,18903.0,19318.0,988.0,40921.0
