,Percent; MARITAL STATUS - Never married,"Percent; SCHOOL ENROLLMENT - Nursery school, preschool",Percent; SCHOOL ENROLLMENT - Kindergarten,Percent; SCHOOL ENROLLMENT - Elementary school (grades 1-8),Percent; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Same county,Percent; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county - Same state,"Percent; PLACE OF BIRTH - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Percent; U.S. CITIZENSHIP STATUS - Naturalized U.S. citizen,Percent; YEAR OF ENTRY - Entered 2010 or later,"Percent; UNITS IN STRUCTURE - 1-unit, attached","Percent; UNITS IN STRUCTURE - Boat, RV, van, etc.","Percent; VALUE - $200,000 to $299,999",Percent; SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) - 10.0 to 14.9 percent,Percent; GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) - 25.0 to 29.9 percent,Percent; GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) - 30.0 to 34.9 percent,Percent; EMPLOYMENT STATUS - In labor force - Armed Forces,Percent; EMPLOYMENT STATUS - All parents in family in labor force,"Percent; INDUSTRY - Agriculture, forestry, fishing and hunting, and mining",Percent; INDUSTRY - Manufacturing,Percent; INDUSTRY - Wholesale trade,"Percent; INDUSTRY - Transportation and warehousing, and utilities","Percent; INDUSTRY - Educational services, and health care and social assistance",Percent; CLASS OF WORKER - Government workers,Percent; CLASS OF WORKER - Self-employed in own not incorporated business workers,Percent; CLASS OF WORKER - Unpaid family workers,Percent; HEALTH INSURANCE COVERAGE - In labor force: - Employed: - With health insurance coverage - With public coverage
0,32.1,5.4,5.9,44.1,10.9,1.6,0.5,31.5,9.9,1.2,0.2,14.6,19.8,11.7,7.7,0.3,64.7,1.7,11.7,2.4,5.1,22.2,13.8,5.0,0.2,4.9
1,32.1,5.4,5.9,44.1,10.9,1.6,0.5,31.5,9.9,1.2,0.2,14.6,19.8,11.7,7.7,0.3,64.7,1.7,11.7,2.4,5.1,22.2,13.8,5.0,0.2,4.9
2,32.7,5.9,4.5,42.8,7.9,4.2,1.1,31.4,3.7,2.1,0.1,13.4,21.5,11.7,7.7,1.2,62.0,2.1,12.7,3.1,6.2,21.4,19.0,5.7,0.1,5.8
3,32.2,6.0,4.8,38.2,9.2,4.3,0.7,36.2,2.2,1.3,0.1,14.5,19.1,9.9,8.4,0.5,68.5,1.1,16.3,2.3,5.3,23.7,18.8,5.1,0.2,5.9
4,26.7,4.5,5.5,47.1,8.8,3.4,0.4,29.1,10.3,0.4,0.1,11.4,18.9,13.9,7.6,0.0,60.0,2.9,19.1,2.5,6.0,21.9,15.6,6.5,0.1,4.3
5,30.3,4.7,4.8,41.7,8.1,2.6,1.4,45.2,4.2,2.0,0.1,17.2,17.7,8.7,6.9,0.2,63.6,1.2,13.5,1.9,4.8,19.4,18.2,6.0,0.1,5.6
6,27.7,6.8,5.6,42.5,7.0,4.0,0.6,31.1,5.2,3.7,0.0,19.8,19.8,11.9,9.2,0.1,58.6,1.0,9.3,3.2,6.1,22.2,13.9,5.0,0.3,3.9
7,44.9,5.6,5.0,35.3,10.9,3.7,0.6,32.3,2.5,1.5,0.0,8.0,20.9,10.0,8.1,0.1,64.8,2.3,11.4,2.3,5.7,25.8,17.5,5.2,0.1,7.7
8,39.2,5.6,5.5,41.7,10.2,2.4,2.2,52.2,3.4,7.6,0.1,33.2,17.2,13.2,10.5,2.8,61.2,5.5,3.8,1.6,7.4,24.4,26.0,6.4,0.2,7.6
9,33.9,3.7,4.6,39.1,13.4,1.8,1.8,45.8,3.8,7.8,0.3,17.5,16.7,11.9,8.3,1.7,60.5,1.6,6.5,1.5,4.2,26.0,19.7,7.0,0.2,10.7
10,33.9,3.7,4.6,39.1,13.4,1.8,1.8,45.8,3.8,7.8,0.3,17.5,16.7,11.9,8.3,1.7,60.5,1.6,6.5,1.5,4.2,26.0,19.7,7.0,0.2,10.7
11,40.4,3.6,5.0,43.3,13.5,1.6,1.0,40.7,8.2,3.3,0.4,8.0,21.3,11.4,7.8,0.4,64.0,3.1,6.3,3.5,6.6,21.9,17.3,6.0,0.3,13.1
