GEO.id,GEO.id2,GEO.display-label,EST_VC01,MOE_VC01,EST_VC03,MOE_VC03,EST_VC04,MOE_VC04,EST_VC05,MOE_VC05,EST_VC06,MOE_VC06,EST_VC07,MOE_VC07,EST_VC08,MOE_VC08,EST_VC09,MOE_VC09,EST_VC10,MOE_VC10,EST_VC11,MOE_VC11,EST_VC12,MOE_VC12,EST_VC13,MOE_VC13,EST_VC14,MOE_VC14,EST_VC15,MOE_VC15,EST_VC16,MOE_VC16,EST_VC17,MOE_VC17,EST_VC18,MOE_VC18,EST_VC19,MOE_VC19,EST_VC20,MOE_VC20,EST_VC21,MOE_VC21,EST_VC22,MOE_VC22,EST_VC23,MOE_VC23,EST_VC24,MOE_VC24,EST_VC25,MOE_VC25,EST_VC26,MOE_VC26,EST_VC27,MOE_VC27,EST_VC28,MOE_VC28,EST_VC30,MOE_VC30,EST_VC31,MOE_VC31,EST_VC32,MOE_VC32,EST_VC33,MOE_VC33,EST_VC34,MOE_VC34,EST_VC35,MOE_VC35,EST_VC36,MOE_VC36,EST_VC37,MOE_VC37,EST_VC38,MOE_VC38,EST_VC39,MOE_VC39,EST_VC40,MOE_VC40,EST_VC41,MOE_VC41,EST_VC42,MOE_VC42,EST_VC43,MOE_VC43,EST_VC44,MOE_VC44,EST_VC45,MOE_VC45,EST_VC46,MOE_VC46,EST_VC47,MOE_VC47,EST_VC48,MOE_VC48,EST_VC49,MOE_VC49,EST_VC50,MOE_VC50,EST_VC51,MOE_VC51,EST_VC52,MOE_VC52,EST_VC53,MOE_VC53,EST_VC54,MOE_VC54,EST_VC55,MOE_VC55,EST_VC56,MOE_VC56,EST_VC57,MOE_VC57,EST_VC58,MOE_VC58,EST_VC59,MOE_VC59,EST_VC61,MOE_VC61,EST_VC62,MOE_VC62,EST_VC63,MOE_VC63,EST_VC64,MOE_VC64,EST_VC65,MOE_VC65,EST_VC66,MOE_VC66,EST_VC67,MOE_VC67,EST_VC69,MOE_VC69,EST_VC70,MOE_VC70,EST_VC71,MOE_VC71,EST_VC72,MOE_VC72,EST_VC73,MOE_VC73,EST_VC74,MOE_VC74,EST_VC75,MOE_VC75,EST_VC76,MOE_VC76,EST_VC77,MOE_VC77,EST_VC78,MOE_VC78,EST_VC79,MOE_VC79,EST_VC80,MOE_VC80,EST_VC81,MOE_VC81,EST_VC82,MOE_VC82,EST_VC83,MOE_VC83,EST_VC84,MOE_VC84,EST_VC85,MOE_VC85
Id,Id2,Geography,Estimate; Total population,Margin of Error; Total population,Estimate; Total population - SEX AND AGE - Male,Margin of Error; Total population - SEX AND AGE - Male,Estimate; Total population - SEX AND AGE - Female,Margin of Error; Total population - SEX AND AGE - Female,Estimate; Total population - SEX AND AGE - Under 5 years,Margin of Error; Total population - SEX AND AGE - Under 5 years,Estimate; Total population - SEX AND AGE - 5 to 9 years,Margin of Error; Total population - SEX AND AGE - 5 to 9 years,Estimate; Total population - SEX AND AGE - 10 to 14 years,Margin of Error; Total population - SEX AND AGE - 10 to 14 years,Estimate; Total population - SEX AND AGE - 15 to 19 years,Margin of Error; Total population - SEX AND AGE - 15 to 19 years,Estimate; Total population - SEX AND AGE - 20 to 24 years,Margin of Error; Total population - SEX AND AGE - 20 to 24 years,Estimate; Total population - SEX AND AGE - 25 to 34 years,Margin of Error; Total population - SEX AND AGE - 25 to 34 years,Estimate; Total population - SEX AND AGE - 35 to 44 years,Margin of Error; Total population - SEX AND AGE - 35 to 44 years,Estimate; Total population - SEX AND AGE - 45 to 54 years,Margin of Error; Total population - SEX AND AGE - 45 to 54 years,Estimate; Total population - SEX AND AGE - 55 to 59 years,Margin of Error; Total population - SEX AND AGE - 55 to 59 years,Estimate; Total population - SEX AND AGE - 60 to 64 years,Margin of Error; Total population - SEX AND AGE - 60 to 64 years,Estimate; Total population - SEX AND AGE - 65 to 74 years,Margin of Error; Total population - SEX AND AGE - 65 to 74 years,Estimate; Total population - SEX AND AGE - 75 to 84 years,Margin of Error; Total population - SEX AND AGE - 75 to 84 years,Estimate; Total population - SEX AND AGE - 85 years and over,Margin of Error; Total population - SEX AND AGE - 85 years and over,Estimate; Total population - SEX AND AGE - Median age (years),Margin of Error; Total population - SEX AND AGE - Median age (years),Estimate; Total population - SEX AND AGE - 18 years and over,Margin of Error; Total population - SEX AND AGE - 18 years and over,Estimate; Total population - SEX AND AGE - 21 years and over,Margin of Error; Total population - SEX AND AGE - 21 years and over,Estimate; Total population - SEX AND AGE - 62 years and over,Margin of Error; Total population - SEX AND AGE - 62 years and over,Estimate; Total population - SEX AND AGE - 65 years and over,Margin of Error; Total population - SEX AND AGE - 65 years and over,Estimate; Total population - SEX AND AGE - 18 years and over,Margin of Error; Total population - SEX AND AGE - 18 years and over,Estimate; Total population - SEX AND AGE - 18 years and over - Male,Margin of Error; Total population - SEX AND AGE - 18 years and over - Male,Estimate; Total population - SEX AND AGE - 18 years and over - Female,Margin of Error; Total population - SEX AND AGE - 18 years and over - Female,Estimate; Total population - SEX AND AGE - 65 years and over,Margin of Error; Total population - SEX AND AGE - 65 years and over,Estimate; Total population - SEX AND AGE - 65 years and over - Male,Margin of Error; Total population - SEX AND AGE - 65 years and over - Male,Estimate; Total population - SEX AND AGE - 65 years and over - Female,Margin of Error; Total population - SEX AND AGE - 65 years and over - Female,Estimate; Total population - RACE - One race,Margin of Error; Total population - RACE - One race,Estimate; Total population - RACE - Two or more races,Margin of Error; Total population - RACE - Two or more races,Estimate; Total population,Margin of Error; Total population,Estimate; Total population - One race,Margin of Error; Total population - One race,Estimate; Total population - One race - White,Margin of Error; Total population - One race - White,Estimate; Total population - One race - Black or African American,Margin of Error; Total population - One race - Black or African American,Estimate; Total population - One race - American Indian and Alaska Native,Margin of Error; Total population - One race - American Indian and Alaska Native,Estimate; Total population - One race - American Indian and Alaska Native - Cherokee tribal grouping,Margin of Error; Total population - One race - American Indian and Alaska Native - Cherokee tribal grouping,Estimate; Total population - One race - American Indian and Alaska Native - Chippewa tribal grouping,Margin of Error; Total population - One race - American Indian and Alaska Native - Chippewa tribal grouping,Estimate; Total population - One race - American Indian and Alaska Native - Navajo tribal grouping,Margin of Error; Total population - One race - American Indian and Alaska Native - Navajo tribal grouping,Estimate; Total population - One race - American Indian and Alaska Native - Sioux tribal grouping,Margin of Error; Total population - One race - American Indian and Alaska Native - Sioux tribal grouping,Estimate; Total population - One race - Asian,Margin of Error; Total population - One race - Asian,Estimate; Total population - One race - Asian - Asian Indian,Margin of Error; Total population - One race - Asian - Asian Indian,Estimate; Total population - One race - Asian - Chinese,Margin of Error; Total population - One race - Asian - Chinese,Estimate; Total population - One race - Asian - Filipino,Margin of Error; Total population - One race - Asian - Filipino,Estimate; Total population - One race - Asian - Japanese,Margin of Error; Total population - One race - Asian - Japanese,Estimate; Total population - One race - Asian - Korean,Margin of Error; Total population - One race - Asian - Korean,Estimate; Total population - One race - Asian - Vietnamese,Margin of Error; Total population - One race - Asian - Vietnamese,Estimate; Total population - One race - Asian - Other Asian,Margin of Error; Total population - One race - Asian - Other Asian,Estimate; Total population - One race - Native Hawaiian and Other Pacific Islander,Margin of Error; Total population - One race - Native Hawaiian and Other Pacific Islander,Estimate; Total population - One race - Native Hawaiian and Other Pacific Islander - Native Hawaiian,Margin of Error; Total population - One race - Native Hawaiian and Other Pacific Islander - Native Hawaiian,Estimate; Total population - One race - Native Hawaiian and Other Pacific Islander - Guamanian or Chamorro,Margin of Error; Total population - One race - Native Hawaiian and Other Pacific Islander - Guamanian or Chamorro,Estimate; Total population - One race - Native Hawaiian and Other Pacific Islander - Samoan,Margin of Error; Total population - One race - Native Hawaiian and Other Pacific Islander - Samoan,Estimate; Total population - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander,Margin of Error; Total population - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander,Estimate; Total population - One race - Some other race,Margin of Error; Total population - One race - Some other race,Estimate; Total population - Two or more races,Margin of Error; Total population - Two or more races,Estimate; Total population - Two or more races - White and Black or African American,Margin of Error; Total population - Two or more races - White and Black or African American,Estimate; Total population - Two or more races - White and American Indian and Alaska Native,Margin of Error; Total population - Two or more races - White and American Indian and Alaska Native,Estimate; Total population - Two or more races - White and Asian,Margin of Error; Total population - Two or more races - White and Asian,Estimate; Total population - Two or more races - Black or African American and American Indian and Alaska Native,Margin of Error; Total population - Two or more races - Black or African American and American Indian and Alaska Native,Estimate; Race alone or in combination with one or more other races - Total population,Margin of Error; Race alone or in combination with one or more other races - Total population,Estimate; Race alone or in combination with one or more other races - Total population - White,Margin of Error; Race alone or in combination with one or more other races - Total population - White,Estimate; Race alone or in combination with one or more other races - Total population - Black or African American,Margin of Error; Race alone or in combination with one or more other races - Total population - Black or African American,Estimate; Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,Margin of Error; Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,Estimate; Race alone or in combination with one or more other races - Total population - Asian,Margin of Error; Race alone or in combination with one or more other races - Total population - Asian,Estimate; Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,Margin of Error; Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,Estimate; Race alone or in combination with one or more other races - Total population - Some other race,Margin of Error; Race alone or in combination with one or more other races - Total population - Some other race,Estimate; HISPANIC OR LATINO AND RACE - Total population,Margin of Error; HISPANIC OR LATINO AND RACE - Total population,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races - Two races including Some other race,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races - Two races including Some other race,"Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races - Two races excluding Some other race, and Three or more races","Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races - Two races excluding Some other race, and Three or more races",Estimate; Total housing units,Margin of Error; Total housing units
5000900US0101,0101,"Congressional District 1 (109th Congress), Alabama",666932,4513,323652,3012,343280,2798,42920,1257,48379,2957,47552,2580,47494,1698,43482,1789,86318,2196,90769,1845,95962,1631,40394,2187,35383,2133,47146,943,31457,1553,9676,1431,37.0,0.3,497667,2715,469602,2814,107578,2331,88279,1345,497667,2715,235186,1701,262481,1778,88279,1345,36769,799,51510,989,660486,4725,6446,1531,666932,4513,660486,4725,455389,2607,186588,3943,5131,1335,N,N,N,N,N,N,N,N,7886,831,647,623,1277,1046,314,278,570,428,388,311,4083,1399,607,500,732,1068,N,N,N,N,N,N,N,N,4760,1186,6446,1531,1095,818,2746,594,978,680,159,212,666932,4513,461371,2965,188432,3855,8546,1389,9189,489,N,N,5366,1162,666932,4513,10457,198,4994,1198,1217,556,595,843,3651,963,656475,4485,450323,2427,185896,3894,5131,1335,7886,831,732,1068,506,390,6001,1414,267,290,5734,1450,315517,1595
5000900US0102,0102,"Congressional District 2 (109th Congress), Alabama",649951,6720,319305,4388,330646,4098,42002,1407,41731,2612,46336,2580,50363,2084,42967,2886,80425,2618,95088,2631,91180,2536,36378,2218,34153,2283,47084,1305,30159,1400,12085,1203,37.3,0.5,491096,4951,460585,5301,110355,2431,89328,1483,491096,4951,235015,3214,256081,2959,89328,1483,36634,978,52694,1022,643283,6843,6668,1208,649951,6720,643283,6843,430327,4398,201390,6127,1857,499,N,N,N,N,N,N,N,N,5004,1699,960,608,309,293,453,297,469,333,600,343,278,234,1935,1506,281,243,N,N,N,N,N,N,N,N,4424,1096,6668,1208,1087,478,2709,595,653,317,222,152,649951,6720,436485,4393,203129,6225,5115,814,5944,1751,916,575,5459,1331,649951,6720,12068,1446,7202,1546,1943,799,147,157,2776,984,637883,6890,423693,4144,200998,6094,1857,499,5004,1699,68,124,191,246,6072,1119,769,553,5303,954,296638,2235
5000900US0103,0103,"Congressional District 3 (109th Congress), Alabama",657814,7821,316715,4840,341099,4499,41619,1712,45599,3077,43252,2876,53433,2634,57578,2514,80483,3489,86969,2717,91250,2530,42497,2705,30639,2625,45650,1571,27683,1552,11162,1229,35.8,0.5,499590,5599,460063,5546,102999,2575,84495,1507,499590,5599,236584,3433,263006,3018,84495,1507,33962,977,50533,977,651400,7921,6414,1411,657814,7821,651400,7921,428587,6287,210547,5782,1971,501,N,N,N,N,N,N,N,N,6945,1403,654,648,2413,1237,320,277,417,439,1724,842,541,521,876,507,176,241,N,N,N,N,N,N,N,N,3174,1220,6414,1411,2490,746,2150,558,562,783,598,388,657814,7821,434403,6608,213952,5649,5036,850,7558,1749,N,N,3443,1264,657814,7821,9689,949,5732,1050,1740,725,948,619,1269,599,648125,7750,423381,6223,209641,5725,1853,533,6875,1376,129,218,646,813,5600,1303,0,265,5600,1303,306776,2535
5000900US0104,0104,"Congressional District 4 (109th Congress), Alabama",652585,4019,319635,2980,332950,2995,41588,1136,37380,2050,45354,2400,44333,2210,39717,1972,85754,1758,90228,1721,90637,1602,42683,2109,36819,2047,52729,1324,33626,1374,11737,1333,38.7,0.3,501752,3323,475061,3430,120526,2637,98092,1626,501752,3323,242190,2350,259562,2383,98092,1626,40121,983,57971,968,646274,4334,6311,1147,652585,4019,646274,4334,597162,4047,33616,1941,4186,1235,N,N,N,N,N,N,N,N,3387,1206,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1094,1044,N,N,N,N,N,N,N,N,6829,2182,6311,1147,1146,537,3570,990,193,196,0,265,652585,4019,603434,4080,34920,1954,7953,1255,3656,1195,1299,1090,7829,2372,652585,4019,30061,1116,17158,3147,936,768,2736,1792,9231,2692,622524,4149,577612,3991,32981,1805,3236,871,3224,1197,182,202,335,229,4954,1131,26,46,4928,1131,294101,1661
5000900US0105,0105,"Congressional District 5 (109th Congress), Alabama",670041,3583,326446,2381,343595,2604,40590,1283,44677,2178,43892,2443,49652,1839,42888,1546,83598,2083,99891,1816,100338,2047,41398,2504,34333,2606,50198,1163,29575,1519,9011,1128,38.1,0.4,511362,2752,480072,3490,110672,2193,88784,1301,511362,2752,246374,1489,264988,1897,88784,1301,37338,797,51446,834,658541,4200,11500,1688,670041,3583,658541,4200,523660,4243,115797,2178,4412,886,N,N,N,N,N,N,N,N,8493,1120,2875,1122,1071,455,484,315,357,262,1711,834,1759,893,236,227,73,126,N,N,N,N,N,N,N,N,6106,2065,11500,1688,1620,670,5649,872,2348,986,400,411,670041,3583,534291,4134,118444,1950,11090,883,11262,1157,510,398,6523,2033,670041,3583,18725,548,15256,1159,1012,614,380,419,2077,831,651316,3702,511801,3636,115088,2067,4412,886,8493,1120,0,265,297,266,11225,1689,213,246,11012,1655,299265,1358
5000900US0106,0106,"Congressional District 6 (109th Congress), Alabama",697031,8300,341802,4716,355229,4869,44280,2028,47404,2597,46070,2644,45180,2427,40755,2482,90157,3349,108696,3339,106553,2579,48601,2253,33474,1988,45589,1528,29350,1914,10922,1397,38.3,0.5,530125,5958,506317,6501,106227,2558,85861,2154,530125,5958,255237,3415,274888,3573,85861,2154,35552,1091,50309,1612,691427,8280,5604,1433,697031,8300,691427,8280,597460,8134,76376,5664,1672,495,N,N,N,N,N,N,N,N,11861,2020,3690,1556,3064,1652,753,485,1397,1366,805,732,1114,1181,1038,707,108,177,N,N,N,N,N,N,N,N,3950,1285,5604,1433,1750,1007,1780,540,1193,723,81,132,697031,8300,602615,8428,78577,5579,3678,632,13487,2085,N,N,4276,1301,697031,8300,15103,1895,10741,1803,492,374,248,279,3622,1476,681928,7976,587045,7939,75924,5619,1672,495,11861,2020,108,177,115,140,5203,1353,26,44,5177,1351,307293,3638
5000900US0107,0107,"Congressional District 7 (109th Congress), Alabama",604676,8827,283039,5062,321637,5558,40728,2025,40274,2958,44587,2829,49745,2223,52351,2471,75721,3038,78073,3032,86728,2976,37042,2076,23895,2015,37463,1543,28611,2057,9458,1113,34.8,0.6,451770,5956,415676,6479,89424,2598,75532,2159,451770,5956,205581,3384,246189,3528,75532,2159,29106,1092,46426,1512,600576,8988,4100,1151,604676,8827,600576,8988,205373,6994,385007,7051,1363,599,N,N,N,N,N,N,N,N,2306,1148,N,N,N,N,N,N,N,N,N,N,N,N,N,N,780,878,N,N,N,N,N,N,N,N,5747,1888,4100,1151,418,331,1799,646,166,165,390,361,604676,8827,208441,7006,386651,6917,3746,825,2936,1358,1251,995,6531,1953,604676,8827,15329,2067,10063,2308,1289,582,258,330,3719,1343,589347,8465,197845,6669,383608,6923,1363,599,2196,1118,197,330,738,838,3400,890,110,128,3290,875,290549,3647
5000900US0200,0200,"Congressional District (at Large) (109th Congress), Alaska",670053,*****,344757,1779,325296,1779,47481,1070,49376,3046,48818,2487,58275,2048,50473,1966,93996,2261,100530,1850,109113,2132,40179,2022,27777,2037,26117,854,13985,989,3933,795,33.5,0.3,490366,671,456361,2206,58548,1778,44035,987,490366,671,252527,1244,237839,1053,44035,987,20114,623,23921,831,615544,4888,54509,4888,670053,*****,615544,4888,460170,2621,21476,2347,88026,2936,765,409,121,134,417,283,607,574,30151,1962,689,454,2447,899,16885,2111,1267,629,3211,1077,1537,948,4115,1723,3753,753,1081,618,326,425,1137,765,1209,728,11968,2391,54509,4888,7057,2052,30977,3300,6374,1599,691,452,670053,*****,510393,4344,31395,1509,123239,2116,40837,1386,6585,1575,15381,2539,670053,*****,37498,854,21987,3143,2495,989,510,702,12506,2947,632555,854,443944,665,20419,1969,86688,2860,29622,1823,3526,722,616,511,47740,4253,656,562,47084,4268,276590,137
5000900US0401,0401,"Congressional District 1 (109th Congress), Arizona",730163,8427,368565,4742,361598,5179,49982,1644,47197,3049,53366,2890,60698,3008,54346,3503,92813,3013,90257,2673,96481,2297,43659,2550,35991,2714,55510,1629,38849,2272,11014,1671,35.7,0.4,545145,5594,506076,5620,125539,2892,105373,2289,545145,5594,275380,3229,269765,3387,105373,2289,48927,1275,56446,1464,711787,8502,18376,2937,730163,8427,711787,8502,480289,8265,8824,1445,154629,4306,332,305,104,127,111132,4880,345,303,5003,848,555,415,861,511,813,485,666,501,912,898,1002,828,194,178,983,829,N,N,N,N,N,N,N,N,62059,5785,18376,2937,1183,680,6280,1856,1733,830,437,293,730163,8427,496667,8740,11504,1678,163897,4163,7699,1298,1229,940,70048,6298,730163,8427,136461,4694,118021,5407,1533,1137,338,288,16569,3191,593702,6437,416918,5519,8370,1371,151467,3976,4674,807,463,531,1490,676,10320,2147,905,686,9415,2107,344644,2297
