GEO.id,GEO.id2,GEO.display-label,HC01_VC01,HC02_VC01,HC01_VC03,HC02_VC03,HC01_VC04,HC02_VC04,HC01_VC05,HC02_VC05,HC01_VC06,HC02_VC06,HC01_VC07,HC02_VC07,HC01_VC08,HC02_VC08,HC01_VC09,HC02_VC09,HC01_VC10,HC02_VC10,HC01_VC11,HC02_VC11,HC01_VC12,HC02_VC12,HC01_VC13,HC02_VC13,HC01_VC14,HC02_VC14,HC01_VC15,HC02_VC15,HC01_VC16,HC02_VC16,HC01_VC17,HC02_VC17,HC01_VC18,HC02_VC18,HC01_VC19,HC02_VC19,HC01_VC20,HC02_VC20,HC01_VC21,HC02_VC21,HC01_VC22,HC02_VC22,HC01_VC23,HC02_VC23,HC01_VC24,HC02_VC24,HC01_VC25,HC02_VC25,HC01_VC26,HC02_VC26,HC01_VC28,HC02_VC28,HC01_VC29,HC02_VC29,HC01_VC30,HC02_VC30,HC01_VC31,HC02_VC31,HC01_VC32,HC02_VC32,HC01_VC33,HC02_VC33,HC01_VC34,HC02_VC34,HC01_VC35,HC02_VC35,HC01_VC36,HC02_VC36,HC01_VC37,HC02_VC37,HC01_VC38,HC02_VC38,HC01_VC39,HC02_VC39,HC01_VC40,HC02_VC40,HC01_VC41,HC02_VC41,HC01_VC42,HC02_VC42,HC01_VC43,HC02_VC43,HC01_VC44,HC02_VC44,HC01_VC45,HC02_VC45,HC01_VC46,HC02_VC46,HC01_VC48,HC02_VC48,HC01_VC49,HC02_VC49,HC01_VC50,HC02_VC50,HC01_VC51,HC02_VC51,HC01_VC52,HC02_VC52,HC01_VC53,HC02_VC53,HC01_VC55,HC02_VC55,HC01_VC56,HC02_VC56,HC01_VC57,HC02_VC57,HC01_VC58,HC02_VC58,HC01_VC59,HC02_VC59,HC01_VC60,HC02_VC60,HC01_VC61,HC02_VC61,HC01_VC62,HC02_VC62,HC01_VC64,HC02_VC64,HC01_VC65,HC02_VC65,HC01_VC66,HC02_VC66,HC01_VC67,HC02_VC67,HC01_VC68,HC02_VC68,HC01_VC69,HC02_VC69,HC01_VC70,HC02_VC70,HC01_VC71,HC02_VC71,HC01_VC72,HC02_VC72,HC01_VC73,HC02_VC73,HC01_VC74,HC02_VC74,HC01_VC75,HC02_VC75,HC01_VC76,HC02_VC76,HC01_VC78,HC02_VC78,HC01_VC79,HC02_VC79,HC01_VC80,HC02_VC80,HC01_VC81,HC02_VC81,HC01_VC82,HC02_VC82,HC01_VC83,HC02_VC83,HC01_VC84,HC02_VC84,HC01_VC85,HC02_VC85,HC01_VC86,HC02_VC86,HC01_VC87,HC02_VC87,HC01_VC88,HC02_VC88,HC01_VC89,HC02_VC89,HC01_VC90,HC02_VC90,HC01_VC91,HC02_VC91,HC01_VC93,HC02_VC93,HC01_VC94,HC02_VC94,HC01_VC95,HC02_VC95,HC01_VC96,HC02_VC96,HC01_VC97,HC02_VC97,HC01_VC98,HC02_VC98,HC01_VC100,HC02_VC100,HC01_VC101,HC02_VC101,HC01_VC102,HC02_VC102,HC01_VC103,HC02_VC103,HC01_VC104,HC02_VC104
Id,Id2,Geography,Number; Total population,Percent; Total population,Number; Total population - SEX AND AGE - Male,Percent; Total population - SEX AND AGE - Male,Number; Total population - SEX AND AGE - Female,Percent; Total population - SEX AND AGE - Female,Number; Total population - SEX AND AGE - Under 5 years,Percent; Total population - SEX AND AGE - Under 5 years,Number; Total population - SEX AND AGE - 5 to 9 years,Percent; Total population - SEX AND AGE - 5 to 9 years,Number; Total population - SEX AND AGE - 10 to 14 years,Percent; Total population - SEX AND AGE - 10 to 14 years,Number; Total population - SEX AND AGE - 15 to 19 years,Percent; Total population - SEX AND AGE - 15 to 19 years,Number; Total population - SEX AND AGE - 20 to 24 years,Percent; Total population - SEX AND AGE - 20 to 24 years,Number; Total population - SEX AND AGE - 25 to 34 years,Percent; Total population - SEX AND AGE - 25 to 34 years,Number; Total population - SEX AND AGE - 35 to 44 years,Percent; Total population - SEX AND AGE - 35 to 44 years,Number; Total population - SEX AND AGE - 45 to 54 years,Percent; Total population - SEX AND AGE - 45 to 54 years,Number; Total population - SEX AND AGE - 55 to 59 years,Percent; Total population - SEX AND AGE - 55 to 59 years,Number; Total population - SEX AND AGE - 60 to 64 years,Percent; Total population - SEX AND AGE - 60 to 64 years,Number; Total population - SEX AND AGE - 65 to 74 years,Percent; Total population - SEX AND AGE - 65 to 74 years,Number; Total population - SEX AND AGE - 75 to 84 years,Percent; Total population - SEX AND AGE - 75 to 84 years,Number; Total population - SEX AND AGE - 85 years and over,Percent; Total population - SEX AND AGE - 85 years and over,Number; Total population - SEX AND AGE - Median age (years),Percent; Total population - SEX AND AGE - Median age (years),Number; Total population - SEX AND AGE - 18 years and over,Percent; Total population - SEX AND AGE - 18 years and over,Number; Total population - SEX AND AGE - 18 years and over - Male,Percent; Total population - SEX AND AGE - 18 years and over - Male,Number; Total population - SEX AND AGE - 18 years and over - Female,Percent; Total population - SEX AND AGE - 18 years and over - Female,Number; Total population - SEX AND AGE - 21 years and over,Percent; Total population - SEX AND AGE - 21 years and over,Number; Total population - SEX AND AGE - 62 years and over,Percent; Total population - SEX AND AGE - 62 years and over,Number; Total population - SEX AND AGE - 65 years and over,Percent; Total population - SEX AND AGE - 65 years and over,Number; Total population - SEX AND AGE - 65 years and over - Male,Percent; Total population - SEX AND AGE - 65 years and over - Male,Number; Total population - SEX AND AGE - 65 years and over - Female,Percent; Total population - SEX AND AGE - 65 years and over - Female,Number; Total population - RACE - One race,Percent; Total population - RACE - One race,Number; Total population - RACE - One race - White,Percent; Total population - RACE - One race - White,Number; Total population - RACE - One race - Black or African American,Percent; Total population - RACE - One race - Black or African American,Number; Total population - RACE - One race - American Indian and Alaska Native,Percent; Total population - RACE - One race - American Indian and Alaska Native,Number; Total population - RACE - One race - Asian,Percent; Total population - RACE - One race - Asian,Number; Total population - RACE - One race - Asian - Asian Indian,Percent; Total population - RACE - One race - Asian - Asian Indian,Number; Total population - RACE - One race - Asian - Chinese,Percent; Total population - RACE - One race - Asian - Chinese,Number; Total population - RACE - One race - Asian - Filipino,Percent; Total population - RACE - One race - Asian - Filipino,Number; Total population - RACE - One race - Asian - Japanese,Percent; Total population - RACE - One race - Asian - Japanese,Number; Total population - RACE - One race - Asian - Korean,Percent; Total population - RACE - One race - Asian - Korean,Number; Total population - RACE - One race - Asian - Vietnamese,Percent; Total population - RACE - One race - Asian - Vietnamese,Number; Total population - RACE - One race - Asian - Other Asian [1],Percent; Total population - RACE - One race - Asian - Other Asian [1],Number; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander,Number; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander - Native Hawaiian,Percent; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander - Native Hawaiian,Number; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander - Guamanian or Chamorro,Percent; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander - Guamanian or Chamorro,Number; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander - Samoan,Percent; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander - Samoan,Number; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander [2],Percent; Total population - RACE - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander [2],Number; Total population - RACE - One race - Some other race,Percent; Total population - RACE - One race - Some other race,Number; Total population - RACE - Two or more races,Percent; Total population - RACE - Two or more races,Number; Total population - RACE - Race alone or in combination with one or more other races [3] - White,Percent; Total population - RACE - Race alone or in combination with one or more other races [3] - White,Number; Total population - RACE - Race alone or in combination with one or more other races [3] - Black or African American,Percent; Total population - RACE - Race alone or in combination with one or more other races [3] - Black or African American,Number; Total population - RACE - Race alone or in combination with one or more other races [3] - American Indian and Alaska Native,Percent; Total population - RACE - Race alone or in combination with one or more other races [3] - American Indian and Alaska Native,Number; Total population - RACE - Race alone or in combination with one or more other races [3] - Asian,Percent; Total population - RACE - Race alone or in combination with one or more other races [3] - Asian,Number; Total population - RACE - Race alone or in combination with one or more other races [3] - Native Hawaiian and Other Pacific Islander,Percent; Total population - RACE - Race alone or in combination with one or more other races [3] - Native Hawaiian and Other Pacific Islander,Number; Total population - RACE - Race alone or in combination with one or more other races [3] - Some other race,Percent; Total population - RACE - Race alone or in combination with one or more other races [3] - Some other race,Number; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Total population,Number; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Number; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Number; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Number; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,Number; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Number; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Number; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Number; RELATIONSHIP - Total population,Percent; RELATIONSHIP - Total population,Number; RELATIONSHIP - Total population - In households,Percent; RELATIONSHIP - Total population - In households,Number; RELATIONSHIP - Total population - In households - Householder,Percent; RELATIONSHIP - Total population - In households - Householder,Number; RELATIONSHIP - Total population - In households - Spouse,Percent; RELATIONSHIP - Total population - In households - Spouse,Number; RELATIONSHIP - Total population - In households - Child,Percent; RELATIONSHIP - Total population - In households - Child,Number; RELATIONSHIP - Total population - In households - Child - Own child under 18 years,Percent; RELATIONSHIP - Total population - In households - Child - Own child under 18 years,Number; RELATIONSHIP - Total population - In households - Other relatives,Percent; RELATIONSHIP - Total population - In households - Other relatives,Number; RELATIONSHIP - Total population - In households - Other relatives - Under 18 years,Percent; RELATIONSHIP - Total population - In households - Other relatives - Under 18 years,Number; RELATIONSHIP - Total population - In households - Nonrelatives,Percent; RELATIONSHIP - Total population - In households - Nonrelatives,Number; RELATIONSHIP - Total population - In households - Nonrelatives - Unmarried partner,Percent; RELATIONSHIP - Total population - In households - Nonrelatives - Unmarried partner,Number; RELATIONSHIP - Total population - In group quarters,Percent; RELATIONSHIP - Total population - In group quarters,Number; RELATIONSHIP - Total population - In group quarters - Institutionalized population,Percent; RELATIONSHIP - Total population - In group quarters - Institutionalized population,Number; RELATIONSHIP - Total population - In group quarters - Noninstitutionalized population,Percent; RELATIONSHIP - Total population - In group quarters - Noninstitutionalized population,Number; HOUSEHOLDS BY TYPE - Total households,Percent; HOUSEHOLDS BY TYPE - Total households,Number; HOUSEHOLDS BY TYPE - Total households - Family households (families),Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families),Number; HOUSEHOLDS BY TYPE - Total households - Family households (families) - With own children under 18 years,Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - With own children under 18 years,Number; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family,Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family,Number; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family - With own children under 18 years,Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family - With own children under 18 years,"Number; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present","Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present","Number; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present - With own children under 18 years","Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present - With own children under 18 years",Number; HOUSEHOLDS BY TYPE - Total households - Nonfamily households,Percent; HOUSEHOLDS BY TYPE - Total households - Nonfamily households,Number; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone,Percent; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone,Number; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone - Householder 65 years and over,Percent; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone - Householder 65 years and over,Number; HOUSEHOLDS BY TYPE - Total households - Households with individuals under 18 years,Percent; HOUSEHOLDS BY TYPE - Total households - Households with individuals under 18 years,Number; HOUSEHOLDS BY TYPE - Total households - Households with individuals 65 years and over,Percent; HOUSEHOLDS BY TYPE - Total households - Households with individuals 65 years and over,Number; HOUSEHOLDS BY TYPE - Total households - Average household size,Percent; HOUSEHOLDS BY TYPE - Total households - Average household size,Number; HOUSEHOLDS BY TYPE - Total households - Average family size,Percent; HOUSEHOLDS BY TYPE - Total households - Average family size,Number; HOUSING OCCUPANCY - Total housing units,Percent; HOUSING OCCUPANCY - Total housing units,Number; HOUSING OCCUPANCY - Total housing units - Occupied housing units,Percent; HOUSING OCCUPANCY - Total housing units - Occupied housing units,Number; HOUSING OCCUPANCY - Total housing units - Vacant housing units,Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units,"Number; HOUSING OCCUPANCY - Total housing units - Vacant housing units - For seasonal, recreational, or occasional use","Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units - For seasonal, recreational, or occasional use",Number; HOUSING OCCUPANCY - Total housing units - Homeowner vacancy rate (percent),Percent; HOUSING OCCUPANCY - Total housing units - Homeowner vacancy rate (percent),Number; HOUSING OCCUPANCY - Total housing units - Rental vacancy rate (percent),Percent; HOUSING OCCUPANCY - Total housing units - Rental vacancy rate (percent),Number; HOUSING TENURE - Occupied housing units,Percent; HOUSING TENURE - Occupied housing units,Number; HOUSING TENURE - Occupied housing units - Owner-occupied housing units,Percent; HOUSING TENURE - Occupied housing units - Owner-occupied housing units,Number; HOUSING TENURE - Occupied housing units - Renter-occupied housing units,Percent; HOUSING TENURE - Occupied housing units - Renter-occupied housing units,Number; HOUSING TENURE - Occupied housing units - Average household size of owner-occupied unit,Percent; HOUSING TENURE - Occupied housing units - Average household size of owner-occupied unit,Number; HOUSING TENURE - Occupied housing units - Average household size of renter-occupied unit,Percent; HOUSING TENURE - Occupied housing units - Average household size of renter-occupied unit
5000600US0101,0101,"Congressional District 1 (106th Congress), Alabama",646181,100.0,311675,48.2,334506,51.8,45340,7.0,48717,7.5,49047,7.6,48094,7.4,41398,6.4,83996,13.0,99038,15.3,86030,13.3,33052,5.1,27701,4.3,45999,7.1,28443,4.4,9326,1.4,35.7,(X),473589,73.3,223461,34.6,250128,38.7,446397,69.1,99912,15.5,83768,13.0,34539,5.3,49229,7.6,639640,99.0,439439,68.0,184842,28.6,6234,1.0,6376,1.0,864,0.1,720,0.1,435,0.1,216,0.0,270,0.0,2389,0.4,1482,0.2,156,0.0,47,0.0,44,0.0,22,0.0,43,0.0,2593,0.4,6541,1.0,444874,68.8,186783,28.9,9488,1.5,7586,1.2,404,0.1,4027,0.6,646181,100.0,8229,1.3,3534,0.5,722,0.1,500,0.1,3473,0.5,637952,98.7,435096,67.3,646181,100.0,632122,97.8,245355,38.0,128582,19.9,198865,30.8,150635,23.3,38267,5.9,18950,2.9,21053,3.3,9150,1.4,14059,2.2,8136,1.3,5923,0.9,245355,100.0,175836,71.7,82917,33.8,128582,52.4,56364,23.0,38227,15.6,22283,9.1,69519,28.3,60191,24.5,22924,9.3,93465,38.1,60303,24.6,2.58,(X),3.08,(X),286477,100.0,245355,85.6,41122,14.4,15252,5.3,2.0,(X),13.1,(X),245355,100.0,179476,73.1,65879,26.9,2.64,(X),2.41,(X)
5000600US0102,0102,"Congressional District 2 (106th Congress), Alabama",650321,100.0,315838,48.6,334483,51.4,43049,6.6,46088,7.1,47640,7.3,46830,7.2,44081,6.8,90013,13.8,101098,15.5,87079,13.4,32620,5.0,27244,4.2,44994,6.9,28997,4.5,10588,1.6,35.7,(X),484902,74.6,230944,35.5,253958,39.1,457190,70.3,100678,15.5,84579,13.0,33411,5.1,51168,7.9,643415,98.9,450643,69.3,181983,28.0,2872,0.4,4361,0.7,679,0.1,634,0.1,525,0.1,398,0.1,833,0.1,467,0.1,825,0.1,258,0.0,101,0.0,66,0.0,37,0.0,54,0.0,3298,0.5,6906,1.1,456229,70.2,184314,28.3,5986,0.9,6009,0.9,554,0.1,4621,0.7,650321,100.0,10047,1.5,4489,0.7,1597,0.2,345,0.1,3616,0.6,640274,98.5,445520,68.5,650321,100.0,626030,96.3,252944,38.9,132104,20.3,189315,29.1,147547,22.7,31708,4.9,15057,2.3,19959,3.1,8754,1.3,24291,3.7,16043,2.5,8248,1.3,252944,100.0,177155,70.0,84048,33.2,132104,52.2,57579,22.8,36049,14.3,21996,8.7,75789,30.0,66781,26.4,25753,10.2,92668,36.6,61103,24.2,2.47,(X),2.99,(X),286832,100.0,252944,88.2,33888,11.8,5111,1.8,2.3,(X),12.4,(X),252944,100.0,182589,72.2,70355,27.8,2.53,(X),2.34,(X)
5000600US0103,0103,"Congressional District 3 (106th Congress), Alabama",643525,100.0,313305,48.7,330220,51.3,41407,6.4,44499,6.9,45063,7.0,49413,7.7,52954,8.2,86783,13.5,94788,14.7,85210,13.2,33008,5.1,27559,4.3,45837,7.1,27609,4.3,9395,1.5,35.2,(X),485760,75.5,232407,36.1,253353,39.4,450963,70.1,99029,15.4,82841,12.9,32898,5.1,49943,7.8,638286,99.2,466996,72.6,162845,25.3,1840,0.3,3373,0.5,685,0.1,812,0.1,327,0.1,199,0.0,582,0.1,221,0.0,547,0.1,193,0.0,31,0.0,86,0.0,50,0.0,26,0.0,3039,0.5,5239,0.8,471446,73.3,164539,25.6,4385,0.7,4352,0.7,464,0.1,4020,0.6,643525,100.0,8547,1.3,4587,0.7,1095,0.2,314,0.0,2551,0.4,634978,98.7,462665,71.9,643525,100.0,623742,96.9,251525,39.1,129237,20.1,181033,28.1,137000,21.3,36111,5.6,17326,2.7,25836,4.0,9188,1.4,19783,3.1,11509,1.8,8274,1.3,251525,100.0,173484,69.0,78332,31.1,129237,51.4,54435,21.6,34575,13.7,19370,7.7,78041,31.0,65640,26.1,24480,9.7,88644,35.2,60026,23.9,2.48,(X),3.00,(X),287110,100.0,251525,87.6,35585,12.4,7808,2.7,2.0,(X),12.7,(X),251525,100.0,183920,73.1,67605,26.9,2.55,(X),2.28,(X)
5000600US0104,0104,"Congressional District 4 (106th Congress), Alabama",643275,100.0,313504,48.7,329771,51.3,41447,6.4,43510,6.8,43977,6.8,43924,6.8,38383,6.0,86380,13.4,95712,14.9,87575,13.6,36091,5.6,31773,4.9,52072,8.1,31622,4.9,10809,1.7,37.5,(X),487312,75.8,233149,36.2,254163,39.5,462195,71.9,113169,17.6,94503,14.7,38014,5.9,56489,8.8,636250,98.9,580621,90.3,40552,6.3,4228,0.7,1365,0.2,300,0.0,205,0.0,273,0.0,120,0.0,185,0.0,128,0.0,154,0.0,213,0.0,32,0.0,121,0.0,27,0.0,33,0.0,9271,1.4,7025,1.1,587128,91.3,41667,6.5,8463,1.3,2051,0.3,440,0.1,10876,1.7,643275,100.0,19032,3.0,13449,2.1,551,0.1,186,0.0,4846,0.8,624243,97.0,572444,89.0,643275,100.0,633827,98.5,255047,39.6,149172,23.2,182112,28.3,139366,21.7,30337,4.7,13393,2.1,17159,2.7,7488,1.2,9448,1.5,7468,1.2,1980,0.3,255047,100.0,185667,72.8,81037,31.8,149172,58.5,61634,24.2,27172,10.7,14783,5.8,69380,27.2,62790,24.6,28645,11.2,89640,35.1,67734,26.6,2.49,(X),2.95,(X),290717,100.0,255047,87.7,35670,12.3,8704,3.0,1.9,(X),11.8,(X),255047,100.0,198798,77.9,56249,22.1,2.52,(X),2.35,(X)
5000600US0105,0105,"Congressional District 5 (106th Congress), Alabama",654886,100.0,319651,48.8,335235,51.2,42737,6.5,46155,7.0,46697,7.1,45542,7.0,41160,6.3,89454,13.7,108722,16.6,89959,13.7,34650,5.3,29316,4.5,45913,7.0,26483,4.0,8098,1.2,36.5,(X),492008,75.1,236181,36.1,255827,39.1,464969,71.0,97616,14.9,80494,12.3,33152,5.1,47342,7.2,645342,98.5,523196,79.9,106237,16.2,4689,0.7,6431,1.0,1814,0.3,1327,0.2,490,0.1,500,0.1,1166,0.2,500,0.1,634,0.1,290,0.0,79,0.0,143,0.0,23,0.0,45,0.0,4499,0.7,9544,1.5,531458,81.2,108803,16.6,9930,1.5,7995,1.2,589,0.1,6129,0.9,654886,100.0,12807,2.0,7927,1.2,1248,0.2,353,0.1,3279,0.5,642079,98.0,516273,78.8,654886,100.0,640400,97.8,260271,39.7,144920,22.1,189423,28.9,148170,22.6,26902,4.1,11996,1.8,18884,2.9,8067,1.2,14486,2.2,7707,1.2,6779,1.0,260271,100.0,183351,70.4,84750,32.6,144920,55.7,62921,24.2,29679,11.4,17468,6.7,76920,29.6,67739,26.0,23493,9.0,92448,35.5,57954,22.3,2.46,(X),2.97,(X),286322,100.0,260271,90.9,26051,9.1,3099,1.1,2.1,(X),12.0,(X),260271,100.0,189511,72.8,70760,27.2,2.55,(X),2.21,(X)
5000600US0106,0106,"Congressional District 6 (106th Congress), Alabama",664795,100.0,320999,48.3,343796,51.7,43095,6.5,43969,6.6,44805,6.7,44958,6.8,48308,7.3,100387,15.1,107722,16.2,93412,14.1,31889,4.8,24811,3.7,43717,6.6,28157,4.2,9565,1.4,35.6,(X),506474,76.2,239607,36.0,266867,40.1,478359,72.0,95579,14.4,81439,12.3,32394,4.9,49045,7.4,659274,99.2,545995,82.1,98754,14.9,1709,0.3,8128,1.2,2206,0.3,2466,0.4,502,0.1,392,0.1,919,0.1,792,0.1,851,0.1,198,0.0,40,0.0,86,0.0,31,0.0,41,0.0,4490,0.7,5521,0.8,550751,82.8,100135,15.1,3948,0.6,9451,1.4,349,0.1,5985,0.9,664795,100.0,11732,1.8,7560,1.1,695,0.1,443,0.1,3034,0.5,653063,98.2,539577,81.2,664795,100.0,650744,97.9,267020,40.2,145619,21.9,186261,28.0,145706,21.9,26880,4.0,10216,1.5,24964,3.8,7766,1.2,14051,2.1,6808,1.0,7243,1.1,267020,100.0,180423,67.6,83884,31.4,145619,54.5,65485,24.5,27181,10.2,15053,5.6,86597,32.4,72566,27.2,22000,8.2,90353,33.8,56847,21.3,2.44,(X),2.99,(X),288537,100.0,267020,92.5,21517,7.5,2630,0.9,1.9,(X),10.0,(X),267020,100.0,191513,71.7,75507,28.3,2.59,(X),2.05,(X)
5000600US0107,0107,"Congressional District 7 (106th Congress), Alabama",544117,100.0,251532,46.2,292585,53.8,38917,7.2,42407,7.8,43023,7.9,45819,8.4,40581,7.5,66002,12.1,78432,14.4,70944,13.0,24140,4.4,21678,4.0,38216,7.0,24438,4.5,9520,1.7,34.3,(X),393633,72.3,175102,32.2,218531,40.2,364244,66.9,84931,15.6,72174,13.3,27078,5.0,45096,8.3,540714,99.4,155918,28.7,380717,70.0,858,0.2,1312,0.2,352,0.1,173,0.0,175,0.0,141,0.0,161,0.0,131,0.0,179,0.0,101,0.0,29,0.0,31,0.0,19,0.0,22,0.0,1808,0.3,3403,0.6,158067,29.1,382757,70.3,2249,0.4,2014,0.4,369,0.1,2543,0.5,544117,100.0,5436,1.0,2976,0.5,414,0.1,213,0.0,1833,0.3,538681,99.0,154244,28.3,544117,100.0,525515,96.6,204918,37.7,77282,14.2,175496,32.3,121375,22.3,50258,9.2,26185,4.8,17561,3.2,8124,1.5,18602,3.4,7692,1.4,10910,2.0,204918,100.0,140052,68.3,66490,32.4,77282,37.7,32767,16.0,53583,26.1,30104,14.7,64866,31.7,58191,28.4,22443,11.0,79639,38.9,54641,26.7,2.56,(X),3.16,(X),237716,100.0,204918,86.2,32798,13.8,4601,1.9,1.9,(X),10.9,(X),204918,100.0,132898,64.9,72020,35.1,2.61,(X),2.47,(X)
5000600US0200,0200,"Congressional District (at Large) (106th Congress), Alaska",626932,100.0,324112,51.7,302820,48.3,47591,7.6,53771,8.6,56661,9.0,50094,8.0,39892,6.4,89473,14.3,114049,18.2,94952,15.1,27423,4.4,17327,2.8,22507,3.6,10558,1.7,2634,0.4,32.4,(X),436215,69.6,226111,36.1,210104,33.5,410474,65.5,45300,7.2,35699,5.7,16724,2.7,18975,3.0,592786,94.6,434534,69.3,21787,3.5,98043,15.6,25116,4.0,723,0.1,1464,0.2,12712,2.0,1414,0.2,4573,0.7,814,0.1,3416,0.5,3309,0.5,695,0.1,227,0.0,1670,0.3,717,0.1,9997,1.6,34146,5.4,463999,74.0,27147,4.3,119241,19.0,32686,5.2,5515,0.9,15151,2.4,626932,100.0,25852,4.1,13334,2.1,2649,0.4,553,0.1,9316,1.5,601080,95.9,423788,67.6,626932,100.0,607583,96.9,221600,35.3,116318,18.6,206127,32.9,174113,27.8,24481,3.9,10808,1.7,39057,6.2,16568,2.6,19349,3.1,4824,0.8,14525,2.3,221600,100.0,152337,68.7,88484,39.9,116318,52.5,63245,28.5,23937,10.8,17243,7.8,69263,31.3,52060,23.5,8985,4.1,95129,42.9,26349,11.9,2.74,(X),3.28,(X),260978,100.0,221600,84.9,39378,15.1,21474,8.2,1.9,(X),7.8,(X),221600,100.0,138509,62.5,83091,37.5,2.89,(X),2.49,(X)
5000600US0401,0401,"Congressional District 1 (106th Congress), Arizona",829492,100.0,419337,50.6,410155,49.4,63936,7.7,60650,7.3,56885,6.9,61093,7.4,78119,9.4,151878,18.3,135452,16.3,98670,11.9,31464,3.8,22924,2.8,35883,4.3,23999,2.9,8539,1.0,30.8,(X),615559,74.2,309702,37.3,305857,36.9,571349,68.9,81477,9.8,68421,8.2,27937,3.4,40484,4.9,803411,96.9,636059,76.7,32135,3.9,16769,2.0,25597,3.1,5312,0.6,6777,0.8,3479,0.4,1718,0.2,2275,0.3,3013,0.4,3023,0.4,1569,0.2,417,0.1,207,0.0,244,0.0,701,0.1,91282,11.0,26081,3.1,657825,79.3,37662,4.5,22161,2.7,31191,3.8,3007,0.4,105389,12.7,829492,100.0,188535,22.7,153567,18.5,3266,0.4,1022,0.1,30680,3.7,640957,77.3,554149,66.8,829492,100.0,818430,98.7,317145,38.2,143110,17.3,236324,28.5,192232,23.2,48853,5.9,16249,2.0,72998,8.8,22011,2.7,11062,1.3,2896,0.3,8166,1.0,317145,100.0,193762,61.1,101010,31.8,143110,45.1,71348,22.5,34380,10.8,21396,6.7,123383,38.9,86351,27.2,19210,6.1,109952,34.7,48761,15.4,2.58,(X),3.21,(X),341736,100.0,317145,92.8,24591,7.2,6009,1.8,1.5,(X),8.4,(X),317145,100.0,184449,58.2,132696,41.8,2.72,(X),2.38,(X)
