,Estimate; EMPLOYMENT STATUS - In labor force - Armed Forces,Estimate; EMPLOYMENT STATUS - Own children 6 to 17 years,Estimate; COMMUTING TO WORK - Public transportation (excluding taxicab),Estimate; COMMUTING TO WORK - Other means,Estimate; OCCUPATION - Service occupations,"Estimate; INDUSTRY - Agriculture, forestry, fishing and hunting, and mining",Estimate; INDUSTRY - Manufacturing,"Estimate; INDUSTRY - Transportation and warehousing, and utilities",Estimate; INDUSTRY - Public administration,Estimate; CLASS OF WORKER - Unpaid family workers,Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - With cash public assistance income - Mean cash public assistance income (dollars),"Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - $50,000 to $74,999.1",Estimate; HEALTH INSURANCE COVERAGE - No health insurance coverage.1,Estimate; HEALTH INSURANCE COVERAGE - In labor force: - Unemployed: - With health insurance coverage,Estimate; HEALTH INSURANCE COVERAGE - Not in labor force: - With health insurance coverage - With private health insurance
0,1555.0,106393.0,1088.0,3560.0,50539.0,4740.0,32599.0,14268.0,11049.0,503.0,2238.0,36347.0,10585.0,15325.0,54747.0
1,1555.0,106393.0,1088.0,3560.0,50539.0,4740.0,32599.0,14268.0,11049.0,503.0,2238.0,36347.0,10585.0,15325.0,54747.0
2,6519.0,100942.0,876.0,3448.0,48244.0,5764.0,35505.0,17270.0,23135.0,392.0,2259.0,33920.0,6125.0,12747.0,55674.0
3,2924.0,99551.0,1365.0,3223.0,44021.0,3050.0,46524.0,15186.0,18679.0,440.0,3134.0,35881.0,3042.0,15350.0,69350.0
4,17.0,103489.0,393.0,2223.0,42039.0,7762.0,50985.0,16144.0,11576.0,396.0,3617.0,35737.0,7324.0,12509.0,58834.0
5,1373.0,104043.0,505.0,3461.0,52041.0,3868.0,41993.0,14951.0,22183.0,374.0,2340.0,34778.0,4905.0,15484.0,58790.0
6,272.0,105834.0,824.0,1881.0,44937.0,3191.0,29638.0,19531.0,14784.0,876.0,2724.0,34971.0,5573.0,10988.0,63785.0
7,573.0,89764.0,3045.0,2726.0,56047.0,5894.0,29451.0,14802.0,11236.0,161.0,2262.0,26069.0,8056.0,20515.0,58815.0
8,15755.0,115704.0,5746.0,21165.0,67497.0,19273.0,13336.0,25838.0,41247.0,546.0,4337.0,32137.0,25957.0,13040.0,45461.0
9,9889.0,98371.0,8335.0,11129.0,68577.0,4717.0,19706.0,12691.0,23051.0,480.0,3156.0,36896.0,17896.0,16683.0,53987.0
10,9889.0,98371.0,8335.0,11129.0,68577.0,4717.0,19706.0,12691.0,23051.0,480.0,3156.0,36896.0,17896.0,16683.0,53987.0
11,1912.0,128379.0,3908.0,7676.0,63358.0,8872.0,17867.0,18903.0,19318.0,988.0,4578.0,33282.0,37662.0,21663.0,40921.0
12,3390.0,98948.0,998.0,5448.0,57503.0,6346.0,18935.0,12976.0,17730.0,266.0,3325.0,43460.0,24628.0,18325.0,53131.0
13,620.0,129180.0,3760.0,8334.0,53143.0,1989.0,35253.0,14859.0,16542.0,429.0,4507.0,38859.0,16712.0,12010.0,56694.0
14,218.0,98916.0,6431.0,9289.0,62178.0,1048.0,21772.0,12873.0,10223.0,709.0,3976.0,29972.0,13340.0,16309.0,57772.0
15,160.0,135559.0,13062.0,8262.0,69562.0,2155.0,24585.0,15541.0,10658.0,189.0,2424.0,20405.0,40785.0,18484.0,25701.0
16,1600.0,125993.0,2825.0,6213.0,53457.0,1686.0,20538.0,14372.0,18220.0,279.0,3509.0,40008.0,15686.0,14027.0,54803.0
17,1273.0,110078.0,895.0,5259.0,50055.0,15008.0,42390.0,16494.0,14083.0,605.0,3491.0,40760.0,9594.0,11507.0,39939.0
18,2844.0,108948.0,2576.0,2296.0,57849.0,5412.0,26058.0,15354.0,21504.0,656.0,3332.0,38353.0,7064.0,13964.0,52653.0
19,690.0,121215.0,1382.0,2744.0,57141.0,7336.0,56029.0,19008.0,8948.0,1224.0,3558.0,41595.0,16468.0,10661.0,60060.0
20,767.0,95831.0,2643.0,6554.0,62348.0,12405.0,16401.0,11772.0,19363.0,1230.0,5777.0,34862.0,14309.0,23744.0,55411.0
