,Estimate; EMPLOYMENT STATUS - In labor force - Armed Forces,Estimate; EMPLOYMENT STATUS - In labor force - Civilian labor force.1,Estimate; EMPLOYMENT STATUS - All parents in family in labor force,Estimate; EMPLOYMENT STATUS - Own children 6 to 17 years,"Estimate; COMMUTING TO WORK - Car, truck, or van -- drove alone","Estimate; COMMUTING TO WORK - Car, truck, or van -- carpooled",Estimate; COMMUTING TO WORK - Public transportation (excluding taxicab),Estimate; COMMUTING TO WORK - Other means,Estimate; COMMUTING TO WORK - Mean travel time to work (minutes),Estimate; OCCUPATION - Service occupations,"Estimate; OCCUPATION - Natural resources, construction, and maintenance occupations","Estimate; INDUSTRY - Agriculture, forestry, fishing and hunting, and mining",Estimate; INDUSTRY - Manufacturing,Estimate; INDUSTRY - Wholesale trade,Estimate; INDUSTRY - Retail trade,"Estimate; INDUSTRY - Transportation and warehousing, and utilities","Estimate; INDUSTRY - Professional, scientific, and management, and administrative and waste management services","Estimate; INDUSTRY - Educational services, and health care and social assistance","Estimate; INDUSTRY - Arts, entertainment, and recreation, and accommodation and food services","Estimate; INDUSTRY - Other services, except public administration",Estimate; INDUSTRY - Public administration,Estimate; CLASS OF WORKER - Self-employed in own not incorporated business workers,Estimate; CLASS OF WORKER - Unpaid family workers,Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Total households,Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - With Social Security,Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - With Social Security - Mean Social Security income (dollars),Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - With Supplemental Security Income,Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - With Supplemental Security Income - Mean Supplemental Security Income (dollars),Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - With cash public assistance income - Mean cash public assistance income (dollars),Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Families,"Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - $50,000 to $74,999.1",Estimate; HEALTH INSURANCE COVERAGE - No health insurance coverage.1,Estimate; HEALTH INSURANCE COVERAGE - In labor force: - Employed: - With health insurance coverage - With public coverage,Estimate; HEALTH INSURANCE COVERAGE - In labor force: - Unemployed: - With health insurance coverage,Estimate; HEALTH INSURANCE COVERAGE - In labor force: - Unemployed: - With health insurance coverage - With private health insurance,Estimate; HEALTH INSURANCE COVERAGE - Not in labor force: - With health insurance coverage - With private health insurance
0,1555.0,151492.0,32188.0,106393.0,234726.0,24936.0,1088.0,3560.0,24.9,50539.0,30808.0,4740.0,32599.0,6726.0,39691.0,14268.0,25772.0,61978.0,27174.0,15308.0,11049.0,14029.0,503.0,268109.0,93844.0,16740.0,17182.0,8051.0,2238.0,184219.0,36347.0,10585.0,12860.0,15325.0,9611.0,54747.0
1,1555.0,151492.0,32188.0,106393.0,234726.0,24936.0,1088.0,3560.0,24.9,50539.0,30808.0,4740.0,32599.0,6726.0,39691.0,14268.0,25772.0,61978.0,27174.0,15308.0,11049.0,14029.0,503.0,268109.0,93844.0,16740.0,17182.0,8051.0,2238.0,184219.0,36347.0,10585.0,12860.0,15325.0,9611.0,54747.0
2,6519.0,150433.0,31290.0,100942.0,243520.0,23673.0,876.0,3448.0,23.3,48244.0,28959.0,5764.0,35505.0,8554.0,35522.0,17270.0,21010.0,60050.0,22718.0,15664.0,23135.0,15967.0,392.0,262364.0,89116.0,15886.0,19289.0,8575.0,2259.0,171761.0,33920.0,6125.0,15323.0,12747.0,7999.0,55674.0
3,2924.0,154288.0,33081.0,99551.0,238617.0,26039.0,1365.0,3223.0,25.1,44021.0,31784.0,3050.0,46524.0,6447.0,33201.0,15186.0,21884.0,67858.0,22562.0,11155.0,18679.0,14533.0,440.0,269516.0,91168.0,15573.0,18281.0,8668.0,3134.0,181119.0,35881.0,3042.0,15945.0,15350.0,10491.0,69350.0
4,17.0,136396.0,28107.0,103489.0,220775.0,30004.0,393.0,2223.0,25.6,42039.0,32363.0,7762.0,50985.0,6781.0,31896.0,16144.0,15655.0,58698.0,18895.0,15178.0,11576.0,17487.0,396.0,258068.0,101507.0,16427.0,18743.0,8517.0,3617.0,179795.0,35737.0,7324.0,10744.0,12509.0,8311.0,58834.0
5,1373.0,158809.0,30712.0,104043.0,265331.0,26385.0,505.0,3461.0,22.9,52041.0,28515.0,3868.0,41993.0,6020.0,36586.0,14951.0,44007.0,60123.0,26855.0,13799.0,22183.0,18772.0,374.0,269229.0,80994.0,16698.0,13455.0,8087.0,2340.0,180435.0,34778.0,4905.0,16292.0,15484.0,12435.0,58790.0
6,272.0,154577.0,30701.0,105834.0,271619.0,27879.0,824.0,1881.0,26.3,44937.0,28349.0,3191.0,29638.0,10357.0,35469.0,19531.0,33859.0,71177.0,24924.0,17182.0,14784.0,16106.0,876.0,261687.0,78143.0,17708.0,10735.0,9003.0,2724.0,180896.0,34971.0,5573.0,11805.0,10988.0,8842.0,63785.0
7,573.0,154080.0,34607.0,89764.0,206249.0,27918.0,3045.0,2726.0,23.2,56047.0,21644.0,5894.0,29451.0,5824.0,31932.0,14802.0,19868.0,66311.0,25489.0,14887.0,11236.0,13335.0,161.0,256196.0,87841.0,14884.0,30343.0,8567.0,2262.0,155712.0,26069.0,8056.0,18752.0,20515.0,11721.0,58815.0
8,15755.0,175699.0,38022.0,115704.0,235946.0,47473.0,5746.0,21165.0,19.6,67497.0,41592.0,19273.0,13336.0,5482.0,37543.0,25838.0,28546.0,85671.0,32832.0,14624.0,41247.0,22407.0,546.0,251651.0,51297.0,15122.0,11572.0,8990.0,4337.0,166400.0,32137.0,25957.0,25370.0,13040.0,8353.0,45461.0
9,9889.0,161031.0,27559.0,98371.0,234124.0,30298.0,8335.0,11129.0,22.2,68577.0,26237.0,4717.0,19706.0,4426.0,32418.0,12691.0,38147.0,79079.0,32031.0,17558.0,23051.0,21173.0,480.0,300327.0,104747.0,17458.0,15330.0,9119.0,3156.0,177541.0,36896.0,17896.0,30527.0,16683.0,7663.0,53987.0
