,Percent; EMPLOYMENT STATUS - In labor force - Armed Forces,Percent; EMPLOYMENT STATUS - All parents in family in labor force,Percent; EMPLOYMENT STATUS - Own children 6 to 17 years,"Percent; COMMUTING TO WORK - Car, truck, or van -- drove alone","Percent; INDUSTRY - Agriculture, forestry, fishing and hunting, and mining",Percent; INDUSTRY - Manufacturing,Percent; INDUSTRY - Wholesale trade,"Percent; INDUSTRY - Transportation and warehousing, and utilities","Percent; INDUSTRY - Educational services, and health care and social assistance",Percent; CLASS OF WORKER - Government workers,Percent; CLASS OF WORKER - Self-employed in own not incorporated business workers,Percent; CLASS OF WORKER - Unpaid family workers,Percent; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - With retirement income,Percent; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Families,"Percent; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - $50,000 to $74,999.1",Percent; HEALTH INSURANCE COVERAGE - In labor force: - Employed: - With health insurance coverage - With public coverage,Percent; HEALTH INSURANCE COVERAGE - In labor force: - Unemployed:
0,0.3,64.7,106393.0,84.9,1.7,11.7,2.4,5.1,22.2,13.8,5.0,0.2,21.4,184219.0,19.7,4.9,34104.0
1,0.3,64.7,106393.0,84.9,1.7,11.7,2.4,5.1,22.2,13.8,5.0,0.2,21.4,184219.0,19.7,4.9,34104.0
2,1.2,62.0,100942.0,86.8,2.1,12.7,3.1,6.2,21.4,19.0,5.7,0.1,20.1,171761.0,19.7,5.8,25338.0
3,0.5,68.5,99551.0,84.8,1.1,16.3,2.3,5.3,23.7,18.8,5.1,0.2,20.6,181119.0,19.8,5.9,30787.0
4,0.0,60.0,103489.0,84.3,2.9,19.1,2.5,6.0,21.9,15.6,6.5,0.1,22.2,179795.0,19.9,4.3,26374.0
5,0.2,63.6,104043.0,86.9,1.2,13.5,1.9,4.8,19.4,18.2,6.0,0.1,22.6,180435.0,19.3,5.6,31005.0
6,0.1,58.6,105834.0,86.2,1.0,9.3,3.2,6.1,22.2,13.9,5.0,0.3,18.0,180896.0,19.3,3.9,18606.0
7,0.1,64.8,89764.0,82.4,2.3,11.4,2.3,5.7,25.8,17.5,5.2,0.1,18.4,155712.0,16.7,7.7,41267.0
8,2.8,61.2,115704.0,66.2,5.5,3.8,1.6,7.4,24.4,26.0,6.4,0.2,18.8,166400.0,19.3,7.6,28517.0
9,1.7,60.5,98371.0,76.2,1.6,6.5,1.5,4.2,26.0,19.7,7.0,0.2,24.4,177541.0,20.8,10.7,27204.0
