,Estimate; HOUSING OCCUPANCY - Homeowner vacancy rate,Estimate; HOUSING OCCUPANCY - Rental vacancy rate,"Estimate; UNITS IN STRUCTURE - 1-unit, detached","Estimate; UNITS IN STRUCTURE - 1-unit, attached",Estimate; UNITS IN STRUCTURE - 3 or 4 units,Estimate; UNITS IN STRUCTURE - 5 to 9 units,Estimate; UNITS IN STRUCTURE - 10 to 19 units,"Estimate; UNITS IN STRUCTURE - Boat, RV, van, etc.",Estimate; YEAR STRUCTURE BUILT - Built 2010 or later,Estimate; YEAR STRUCTURE BUILT - Built 1990 to 1999,Estimate; YEAR STRUCTURE BUILT - Built 1980 to 1989,Estimate; YEAR STRUCTURE BUILT - Built 1970 to 1979,Estimate; YEAR STRUCTURE BUILT - Built 1960 to 1969,Estimate; YEAR STRUCTURE BUILT - Built 1939 or earlier,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 2010 or later,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 2000 to 2009,Estimate; VEHICLES AVAILABLE - 1 vehicle available,Estimate; VEHICLES AVAILABLE - 3 or more vehicles available,Estimate; SELECTED CHARACTERISTICS - Lacking complete plumbing facilities,Estimate; SELECTED CHARACTERISTICS - Lacking complete kitchen facilities,"Estimate; VALUE - $150,000 to $199,999","Estimate; VALUE - $200,000 to $299,999","Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - $1,000 to $1,499",Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - $300 to $399,Estimate; SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) - 35.0 percent or more,Estimate; SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) - Not computed,Estimate; SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) - Less than 10.0 percent,Estimate; SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) - Not computed.1,Estimate; GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) - 35.0 percent or more,Estimate; GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) - Not computed
0,2.7,9.6,224053.0,4038.0,9223.0,15023.0,10326.0,667.0,5595.0,58211.0,48203.0,58204.0,33516.0,14218.0,72125.0,102504.0,88732.0,55554.0,1705.0,2103.0,30683.0,26046.0,37361.0,19093.0,23820.0,836.0,31722.0,1644.0,34767.0,12673.0
1,2.7,9.6,224053.0,4038.0,9223.0,15023.0,10326.0,667.0,5595.0,58211.0,48203.0,58204.0,33516.0,14218.0,72125.0,102504.0,88732.0,55554.0,1705.0,2103.0,30683.0,26046.0,37361.0,19093.0,23820.0,836.0,31722.0,1644.0,34767.0,12673.0
2,2.0,5.6,206766.0,6522.0,9692.0,13812.0,6340.0,188.0,5721.0,59175.0,47840.0,59405.0,34977.0,18233.0,69836.0,100453.0,94975.0,53468.0,860.0,2416.0,23782.0,23554.0,31354.0,19829.0,21046.0,672.0,34542.0,768.0,30630.0,10882.0
3,2.4,6.9,209407.0,4174.0,10083.0,10040.0,8334.0,391.0,7445.0,62917.0,50900.0,48311.0,31277.0,17083.0,73116.0,98898.0,87567.0,71172.0,653.0,1551.0,27439.0,27380.0,36850.0,21051.0,22108.0,742.0,35194.0,1556.0,29077.0,13909.0
4,2.1,4.9,223711.0,1352.0,5965.0,7014.0,3507.0,237.0,3022.0,53745.0,49251.0,63254.0,37824.0,19809.0,56211.0,92874.0,82537.0,66735.0,773.0,1602.0,23959.0,21613.0,26768.0,22201.0,20444.0,651.0,40224.0,1238.0,18461.0,15093.0
5,3.1,8.6,221753.0,6265.0,11939.0,15198.0,10710.0,359.0,6398.0,56875.0,50158.0,43420.0,45086.0,11895.0,70302.0,106664.0,85429.0,68630.0,1053.0,900.0,36125.0,32326.0,40338.0,18217.0,21013.0,288.0,38008.0,799.0,28476.0,8451.0
6,2.1,7.7,209851.0,10711.0,4231.0,10745.0,13464.0,70.0,3537.0,66724.0,42543.0,49290.0,29063.0,12461.0,64677.0,108659.0,77425.0,65766.0,644.0,1470.0,34631.0,38992.0,40809.0,17568.0,26262.0,676.0,34269.0,803.0,21061.0,7398.0
7,3.2,9.9,205315.0,4857.0,13571.0,18858.0,20766.0,91.0,3794.0,38538.0,40817.0,58320.0,49613.0,32381.0,68708.0,90504.0,98759.0,45582.0,1544.0,2156.0,19978.0,12097.0,31265.0,19895.0,23476.0,856.0,24312.0,2340.0,44148.0,15165.0
8,1.7,5.6,196351.0,23251.0,18913.0,15892.0,8128.0,351.0,3074.0,45264.0,75573.0,75242.0,29477.0,5126.0,81989.0,99188.0,84372.0,51181.0,11580.0,9325.0,21811.0,52997.0,24297.0,5624.0,24085.0,158.0,25284.0,97.0,31804.0,6053.0
9,2.2,9.2,201551.0,27031.0,13460.0,12301.0,17708.0,1172.0,3368.0,60678.0,62226.0,72846.0,33192.0,10225.0,101472.0,120958.0,118906.0,47494.0,614.0,2485.0,36827.0,31802.0,37774.0,15063.0,27302.0,1140.0,32043.0,1187.0,49668.0,7000.0
