,Estimate; HOUSING OCCUPANCY - Rental vacancy rate,"Estimate; UNITS IN STRUCTURE - 1-unit, attached","Estimate; UNITS IN STRUCTURE - Boat, RV, van, etc.",Estimate; SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) - Not computed,Estimate; SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) - Less than 10.0 percent
0,9.6,4038.0,667.0,836.0,31722.0
1,9.6,4038.0,667.0,836.0,31722.0
2,5.6,6522.0,188.0,672.0,34542.0
3,6.9,4174.0,391.0,742.0,35194.0
4,4.9,1352.0,237.0,651.0,40224.0
5,8.6,6265.0,359.0,288.0,38008.0
6,7.7,10711.0,70.0,676.0,34269.0
7,9.9,4857.0,91.0,856.0,24312.0
8,5.6,23251.0,351.0,158.0,25284.0
9,9.2,27031.0,1172.0,1140.0,32043.0
10,9.2,27031.0,1172.0,1140.0,32043.0
11,9.2,8811.0,1145.0,622.0,17176.0
12,7.1,7899.0,4803.0,393.0,40152.0
13,6.6,11265.0,1149.0,664.0,26111.0
14,8.0,25820.0,93.0,1083.0,23382.0
15,11.4,8443.0,24.0,2304.0,8725.0
16,9.7,19286.0,285.0,519.0,28942.0
17,8.3,4341.0,426.0,329.0,38566.0
18,13.6,4651.0,509.0,1008.0,33898.0
19,7.4,9202.0,598.0,910.0,30497.0
20,6.6,8504.0,1557.0,750.0,25724.0
21,4.8,18516.0,1039.0,578.0,22952.0
22,5.3,11730.0,460.0,266.0,17992.0
23,7.8,7262.0,174.0,405.0,19873.0
24,7.4,19861.0,357.0,763.0,16301.0
25,6.4,20263.0,469.0,978.0,14251.0
26,7.1,14116.0,158.0,1034.0,17581.0
27,8.3,8160.0,789.0,1669.0,14641.0
28,6.0,13445.0,264.0,716.0,12877.0
29,4.5,8542.0,123.0,255.0,13192.0
30,4.4,22561.0,371.0,206.0,18145.0
31,2.8,40839.0,173.0,120.0,14080.0
32,4.4,14392.0,200.0,186.0,12771.0
33,1.2,24680.0,291.0,226.0,17808.0
34,2.4,25113.0,65.0,689.0,15413.0
35,8.0,6022.0,133.0,226.0,11923.0
36,3.3,30627.0,292.0,460.0,18935.0
37,2.7,22581.0,114.0,486.0,22649.0
38,2.7,21851.0,249.0,255.0,12146.0
39,3.1,17171.0,267.0,337.0,14303.0
40,5.5,5881.0,80.0,350.0,11338.0
41,3.6,6941.0,274.0,548.0,14768.0
42,7.3,6001.0,200.0,1165.0,17564.0
43,2.6,17688.0,353.0,157.0,19238.0
44,4.1,12948.0,232.0,1425.0,10299.0
45,2.6,24790.0,294.0,200.0,15425.0
46,2.6,22840.0,126.0,863.0,18157.0
47,3.0,11512.0,587.0,502.0,9698.0
48,3.8,9339.0,250.0,515.0,5916.0
49,5.0,12493.0,364.0,791.0,10773.0
50,7.5,11351.0,34.0,650.0,12600.0
51,4.9,18867.0,40.0,401.0,13479.0
52,4.7,20705.0,38.0,445.0,17791.0
53,4.6,12671.0,103.0,502.0,5139.0
54,6.5,10699.0,272.0,414.0,8244.0
55,8.2,35235.0,762.0,1167.0,18121.0
56,4.3,21856.0,0.0,517.0,9011.0
57,4.8,9961.0,42.0,847.0,16121.0
58,4.4,19364.0,248.0,467.0,16595.0
59,2.1,20847.0,173.0,80.0,7385.0
60,4.7,6999.0,184.0,503.0,9305.0
61,3.6,6424.0,381.0,464.0,10422.0
62,3.4,19063.0,287.0,335.0,9944.0
63,3.7,13951.0,35.0,141.0,8276.0
64,4.3,38917.0,184.0,731.0,15369.0
65,3.9,12491.0,0.0,80.0,10646.0
66,4.0,17977.0,219.0,371.0,14620.0
67,2.5,35049.0,132.0,26.0,21149.0
68,4.3,37183.0,0.0,4961.0,15550.0
69,5.9,14339.0,445.0,4889.0,14700.0
70,4.4,15029.0,303.0,506.0,11553.0
71,4.9,27038.0,94.0,364.0,17246.0
72,3.3,23940.0,300.0,515.0,13512.0
73,3.9,24914.0,473.0,615.0,16952.0
74,6.9,26688.0,0.0,577.0,27306.0
75,7.9,19671.0,366.0,584.0,31576.0
76,4.9,18899.0,70.0,1567.0,24957.0
77,5.7,24470.0,224.0,603.0,18975.0
78,5.2,25844.0,63.0,602.0,21450.0
79,7.1,17689.0,0.0,468.0,15365.0
80,6.7,12340.0,35.0,71.0,16614.0
81,6.7,17738.0,0.0,393.0,11314.0
82,7.7,17875.0,0.0,779.0,12289.0
