,Percent; HOUSING OCCUPANCY - Occupied housing units,"Percent; UNITS IN STRUCTURE - 1-unit, attached",Percent; UNITS IN STRUCTURE - 3 or 4 units,Percent; UNITS IN STRUCTURE - 5 to 9 units,Percent; UNITS IN STRUCTURE - 10 to 19 units,Percent; UNITS IN STRUCTURE - Mobile home,"Percent; UNITS IN STRUCTURE - Boat, RV, van, etc.",Percent; YEAR STRUCTURE BUILT - Built 2010 or later,Percent; YEAR STRUCTURE BUILT - Built 1990 to 1999,Percent; YEAR STRUCTURE BUILT - Built 1970 to 1979,Percent; YEAR STRUCTURE BUILT - Built 1939 or earlier,Percent; ROOMS - 5 rooms,Percent; HOUSING TENURE - Owner-occupied,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 2000 to 2009,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1969 or earlier,Percent; SELECTED CHARACTERISTICS - Lacking complete plumbing facilities,Percent; SELECTED CHARACTERISTICS - Lacking complete kitchen facilities,"Percent; VALUE - $150,000 to $199,999","Percent; VALUE - $200,000 to $299,999","Percent; VALUE - $1,000,000 or more","Percent; SELECTED MONTHLY OWNER COSTS (SMOC) - $2,000 or more",Percent; SELECTED MONTHLY OWNER COSTS (SMOC) - $100 to $199,Percent; SELECTED MONTHLY OWNER COSTS (SMOC) - $300 to $399,Percent; SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) - 20.0 to 24.9 percent,Percent; SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) - 25.0 to 29.9 percent,Percent; SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) - 35.0 percent or more,Percent; SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) - Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),Percent; SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) - 10.0 to 14.9 percent,Percent; SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) - 15.0 to 19.9 percent,Percent; SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) - 35.0 percent or more.1,Percent; GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) - 20.0 to 24.9 percent,Percent; GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) - 25.0 to 29.9 percent,Percent; GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) - 30.0 to 34.9 percent
0,82.1,1.2,2.8,4.6,3.2,10.7,0.2,1.7,17.8,17.8,4.4,22.1,66.5,38.2,4.9,0.6,0.8,17.2,14.6,0.6,11.3,13.5,25.7,15.7,11.9,23.1,72727.0,19.8,11.3,9.1,12.3,11.7,7.7
1,82.1,1.2,2.8,4.6,3.2,10.7,0.2,1.7,17.8,17.8,4.4,22.1,66.5,38.2,4.9,0.6,0.8,17.2,14.6,0.6,11.3,13.5,25.7,15.7,11.9,23.1,72727.0,19.8,11.3,9.1,12.3,11.7,7.7
2,85.2,2.1,3.1,4.5,2.1,17.4,0.1,1.9,19.2,19.3,5.9,23.8,67.0,38.3,4.2,0.3,0.9,13.5,13.4,0.3,8.0,14.1,26.7,13.8,10.3,20.9,73632.0,21.5,10.6,7.7,12.1,11.7,7.7
3,84.3,1.3,3.2,3.1,2.6,19.0,0.1,2.3,19.7,15.1,5.3,24.3,69.9,36.7,5.1,0.2,0.6,14.6,14.5,0.9,9.0,13.3,25.7,16.4,11.2,20.9,80485.0,19.1,11.7,12.8,12.3,9.9,8.4
4,83.4,0.4,1.9,2.3,1.1,18.0,0.1,1.0,17.4,20.4,6.4,24.8,73.4,36.0,5.7,0.3,0.6,12.6,11.4,0.5,7.0,15.8,24.4,15.1,10.0,20.9,89827.0,18.9,12.6,9.1,12.6,13.9,7.6
5,88.0,2.0,3.9,5.0,3.5,8.7,0.1,2.1,18.6,14.2,3.9,20.1,69.9,39.6,4.5,0.4,0.3,19.2,17.2,0.6,10.2,13.4,26.2,16.3,8.4,17.8,68800.0,17.7,7.9,8.4,12.1,8.7,6.9
6,89.6,3.7,1.4,3.7,4.6,10.5,0.0,1.2,22.8,16.9,4.3,21.0,75.2,41.5,3.7,0.2,0.6,17.6,19.8,1.5,17.8,11.0,25.3,15.8,9.8,20.7,68535.0,19.8,8.9,7.8,13.4,11.9,9.2
7,78.2,1.5,4.1,5.8,6.3,10.0,0.0,1.2,11.8,17.8,9.9,23.1,59.2,35.3,6.3,0.6,0.8,13.2,8.0,0.3,4.9,11.2,29.3,15.6,9.4,28.3,65470.0,20.9,10.2,13.9,12.6,10.0,8.1
8,81.8,7.6,6.1,5.2,2.6,4.6,0.1,1.0,14.7,24.5,1.7,18.1,63.4,39.4,1.1,4.6,3.7,13.7,33.2,0.6,39.6,6.0,10.1,18.2,12.2,23.2,55392.0,17.2,13.3,10.5,12.7,13.2,10.5
9,86.7,7.8,3.9,3.6,5.1,8.9,0.3,1.0,17.5,21.0,3.0,21.9,60.5,40.3,1.7,0.2,0.8,20.3,17.5,1.4,18.5,9.4,22.2,17.3,11.6,24.2,66790.0,16.7,11.5,9.7,12.7,11.9,8.3
