,"Percent; UNITS IN STRUCTURE - 1-unit, attached","Percent; UNITS IN STRUCTURE - Boat, RV, van, etc.",Percent; HOUSING TENURE - Owner-occupied,"Percent; VALUE - $200,000 to $299,999",Percent; SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) - 10.0 to 14.9 percent,Percent; GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) - 25.0 to 29.9 percent,Percent; GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) - 30.0 to 34.9 percent
0,1.2,0.2,66.5,14.6,19.8,11.7,7.7
1,1.2,0.2,66.5,14.6,19.8,11.7,7.7
2,2.1,0.1,67.0,13.4,21.5,11.7,7.7
3,1.3,0.1,69.9,14.5,19.1,9.9,8.4
4,0.4,0.1,73.4,11.4,18.9,13.9,7.6
5,2.0,0.1,69.9,17.2,17.7,8.7,6.9
6,3.7,0.0,75.2,19.8,19.8,11.9,9.2
7,1.5,0.0,59.2,8.0,20.9,10.0,8.1
8,7.6,0.1,63.4,33.2,17.2,13.2,10.5
9,7.8,0.3,60.5,17.5,16.7,11.9,8.3
10,7.8,0.3,60.5,17.5,16.7,11.9,8.3
11,3.3,0.4,61.5,8.0,21.3,11.4,7.8
12,2.1,1.3,70.2,16.3,18.1,12.6,9.4
13,3.7,0.4,71.0,23.6,17.7,11.0,9.4
14,7.4,0.0,62.9,16.8,16.2,10.0,8.3
15,3.3,0.0,45.2,7.4,20.0,9.5,9.6
16,6.1,0.1,72.0,20.3,21.7,10.7,9.2
17,1.3,0.1,65.8,9.1,20.9,11.4,9.9
18,1.4,0.2,65.7,15.1,21.5,9.6,7.1
19,2.9,0.2,64.2,12.3,20.6,9.4,9.5
20,2.7,0.5,64.1,23.2,19.2,12.1,8.2
21,5.8,0.3,60.7,14.9,18.6,11.9,7.0
22,4.4,0.2,58.3,23.9,19.7,10.5,10.5
23,2.1,0.0,71.0,27.1,19.3,11.0,9.6
24,7.0,0.1,59.1,19.9,19.3,11.7,10.0
25,7.2,0.2,47.2,23.7,16.9,12.0,8.5
26,5.2,0.1,63.2,29.7,20.9,11.3,9.5
27,2.7,0.3,60.1,15.9,20.6,9.3,8.2
28,5.5,0.1,59.5,25.1,22.0,9.7,10.0
29,3.5,0.1,57.2,23.8,21.4,10.2,6.9
30,8.1,0.1,61.8,12.8,19.6,11.2,9.3
31,11.9,0.1,32.9,2.3,17.8,12.2,9.1
32,4.8,0.1,42.4,12.6,21.8,11.7,9.8
33,9.5,0.1,57.1,3.2,16.7,12.4,8.4
34,10.0,0.0,63.4,11.3,20.7,13.3,9.3
35,2.7,0.1,48.1,13.9,18.5,9.1,9.7
36,12.3,0.1,55.0,4.7,16.2,10.8,7.2
37,7.9,0.0,59.4,2.7,17.4,11.1,9.3
38,9.8,0.1,58.3,9.3,15.3,12.6,8.0
39,7.0,0.1,51.1,18.3,18.3,12.3,10.3
