,Id,Id2,Geography,District,State,Year,Name,URL,Oldstate,Party,Terms
0,5001500US0101,101.0,"Congressional District 1 (115th Congress), Alabama",1,1,2012,"Representative Bonner, Jo",https://www.congress.gov/member/jo-bonner/B001244,Alabama,Republican,House: 2003-2013
1,5001500US0101,101.0,"Congressional District 1 (115th Congress), Alabama",1,1,2012,"Representative Byrne, Bradley",https://www.congress.gov/member/bradley-byrne/B001289,Alabama,Republican,House: 2014-Present
2,5001500US0102,102.0,"Congressional District 2 (115th Congress), Alabama",2,1,2012,"Representative Roby, Martha",https://www.congress.gov/member/martha-roby/R000591,Alabama,Republican,House: 2011-Present
3,5001500US0103,103.0,"Congressional District 3 (115th Congress), Alabama",3,1,2012,"Representative Rogers, Mike D.",https://www.congress.gov/member/mike-rogers/R000575,Alabama,Republican,House: 2003-Present
4,5001500US0104,104.0,"Congressional District 4 (115th Congress), Alabama",4,1,2012,"Representative Aderholt, Robert B.",https://www.congress.gov/member/robert-aderholt/A000055,Alabama,Republican,House: 1997-Present
5,5001500US0105,105.0,"Congressional District 5 (115th Congress), Alabama",5,1,2012,"Representative Brooks, Mo",https://www.congress.gov/member/mo-brooks/B001274,Alabama,Republican,House: 2011-Present
6,5001500US0106,106.0,"Congressional District 6 (115th Congress), Alabama",6,1,2012,"Representative Bachus, Spencer",https://www.congress.gov/member/spencer-bachus/B000013,Alabama,Republican,House: 1993-2015
7,5001500US0107,107.0,"Congressional District 7 (115th Congress), Alabama",7,1,2012,"Representative Sewell, Terri A.",https://www.congress.gov/member/terri-sewell/S001185,Alabama,Democratic,House: 2011-Present
8,5001500US0200,200.0,"Congressional District (at Large) (115th Congress), Alaska",0,2,2012,"Representative Young, Don",https://www.congress.gov/member/don-young/Y000033,Alaska,Republican,House: 1973-Present
9,5001500US0402,402.0,"Congressional District 2 (115th Congress), Arizona",2,4,2012,"Representative Barber, Ron",https://www.congress.gov/member/ron-barber/B001279,Arizona,Democratic,House: 2012-2015
10,5001500US0402,402.0,"Congressional District 2 (115th Congress), Arizona",2,4,2012,"Representative Kirkpatrick, Ann",https://www.congress.gov/member/ann-kirkpatrick/K000368,Arizona,Democratic,"House: 2009-2011, 2013-2017, 2019-Present"
11,5001500US0403,403.0,"Congressional District 3 (115th Congress), Arizona",3,4,2012,"Representative Grijalva, Raul M.",https://www.congress.gov/member/raul-grijalva/G000551,Arizona,Democratic,House: 2003-Present
12,5001500US0404,404.0,"Congressional District 4 (115th Congress), Arizona",4,4,2012,"Representative Gosar, Paul A.",https://www.congress.gov/member/paul-gosar/G000565,Arizona,Republican,House: 2011-Present
13,5001500US0405,405.0,"Congressional District 5 (115th Congress), Arizona",5,4,2012,"Representative Salmon, Matt",https://www.congress.gov/member/matt-salmon/S000018,Arizona,Republican,"House: 1995-2001, 2013-2017"
14,5001500US0406,406.0,"Congressional District 6 (115th Congress), Arizona",6,4,2012,"Representative Schweikert, David",https://www.congress.gov/member/david-schweikert/S001183,Arizona,Republican,House: 2011-Present
15,5001500US0407,407.0,"Congressional District 7 (115th Congress), Arizona",7,4,2012,"Representative Pastor, Ed",https://www.congress.gov/member/ed-pastor/P000099,Arizona,Democratic,House: 1991-2015
16,5001500US0408,408.0,"Congressional District 8 (115th Congress), Arizona",8,4,2012,"Representative Franks, Trent",https://www.congress.gov/member/trent-franks/F000448,Arizona,Republican,House: 2003-2017
17,5001500US0501,501.0,"Congressional District 1 (115th Congress), Arkansas",1,5,2012,"Representative Crawford, Eric A. ""Rick""",https://www.congress.gov/member/eric-crawford/C001087,Arkansas,Republican,House: 2011-Present
18,5001500US0502,502.0,"Congressional District 2 (115th Congress), Arkansas",2,5,2012,"Representative Griffin, Tim",https://www.congress.gov/member/tim-griffin/G000567,Arkansas,Republican,House: 2011-2015
19,5001500US0503,503.0,"Congressional District 3 (115th Congress), Arkansas",3,5,2012,"Representative Womack, Steve",https://www.congress.gov/member/steve-womack/W000809,Arkansas,Republican,House: 2011-Present
20,5001500US0601,601.0,"Congressional District 1 (115th Congress), California",1,6,2012,"Representative LaMalfa, Doug",https://www.congress.gov/member/doug-lamalfa/L000578,California,Republican,House: 2013-Present
21,5001500US0602,602.0,"Congressional District 2 (115th Congress), California",2,6,2012,"Representative Huffman, Jared",https://www.congress.gov/member/jared-huffman/H001068,California,Democratic,House: 2013-Present
22,5001500US0603,603.0,"Congressional District 3 (115th Congress), California",3,6,2012,"Representative Garamendi, John",https://www.congress.gov/member/john-garamendi/G000559,California,Democratic,House: 2009-Present
23,5001500US0604,604.0,"Congressional District 4 (115th Congress), California",4,6,2012,"Representative McClintock, Tom",https://www.congress.gov/member/tom-mcclintock/M001177,California,Republican,House: 2009-Present
24,5001500US0605,605.0,"Congressional District 5 (115th Congress), California",5,6,2012,"Representative Thompson, Mike",https://www.congress.gov/member/mike-thompson/T000460,California,Democratic,House: 1999-Present
