,Number; RACE - Total population - Two or More Races - White; American Indian and Alaska Native [3],Number; RACE - Total population - Two or More Races - White; Black or African American [3],Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Cuban,Number; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some Other Race alone,Number; RELATIONSHIP - Total population - In group quarters - Institutionalized population,Number; RELATIONSHIP - Total population - In group quarters - Institutionalized population - Female
0,3095.0,2590.0,852.0,709.0,8542.0,2086.0
1,3095.0,2590.0,852.0,709.0,8542.0,2086.0
2,2924.0,3296.0,558.0,540.0,17155.0,5499.0
3,2669.0,3161.0,633.0,563.0,10998.0,3062.0
4,5306.0,2590.0,401.0,426.0,6738.0,3239.0
5,4892.0,3912.0,631.0,697.0,8239.0,2493.0
6,2166.0,2111.0,639.0,654.0,7820.0,2325.0
7,901.0,2006.0,350.0,441.0,7512.0,3674.0
8,26127.0,4685.0,927.0,1111.0,6458.0,1832.0
9,4523.0,4836.0,1210.0,1089.0,10977.0,2189.0
10,4523.0,4836.0,1210.0,1089.0,10977.0,2189.0
11,3523.0,3214.0,1025.0,1037.0,12849.0,1216.0
12,5157.0,2747.0,708.0,679.0,21740.0,1772.0
13,2999.0,4334.0,924.0,850.0,1075.0,666.0
14,2769.0,3552.0,1456.0,990.0,2044.0,1130.0
15,2656.0,4511.0,2275.0,1021.0,10237.0,1522.0
16,3058.0,4530.0,1028.0,890.0,7580.0,5813.0
17,3773.0,2888.0,214.0,314.0,21502.0,5074.0
18,3689.0,4207.0,472.0,769.0,8166.0,3443.0
19,8747.0,3128.0,554.0,635.0,5583.0,3002.0
20,13237.0,3058.0,473.0,1232.0,15244.0,2348.0
21,9581.0,2899.0,870.0,2070.0,12672.0,1825.0
22,7633.0,5299.0,743.0,1875.0,14325.0,2033.0
23,8727.0,2459.0,678.0,1397.0,11036.0,1429.0
24,5968.0,4558.0,890.0,1512.0,7505.0,2457.0
25,5652.0,8743.0,976.0,1763.0,4536.0,1628.0
26,5809.0,6710.0,896.0,1714.0,9035.0,1284.0
27,6622.0,5280.0,1799.0,1283.0,8277.0,1150.0
28,5070.0,4732.0,692.0,1259.0,4880.0,1819.0
29,6194.0,3793.0,638.0,1423.0,7815.0,2000.0
30,3667.0,4309.0,1108.0,2221.0,4229.0,2289.0
31,2808.0,3336.0,1757.0,2178.0,5179.0,2303.0
32,3172.0,6175.0,1458.0,2402.0,3900.0,1818.0
33,2439.0,2524.0,1207.0,2739.0,3392.0,1671.0
34,3373.0,3603.0,944.0,1608.0,8429.0,3029.0
35,4036.0,3159.0,484.0,1592.0,14752.0,9190.0
36,2148.0,2309.0,674.0,1481.0,4396.0,1611.0
37,3390.0,2756.0,1140.0,1777.0,3109.0,1889.0
38,3247.0,2462.0,914.0,1337.0,2641.0,670.0
39,4504.0,2766.0,659.0,1323.0,13989.0,1656.0
40,3057.0,2185.0,399.0,1762.0,45973.0,1122.0
41,4929.0,3050.0,517.0,1314.0,3570.0,1576.0
42,6984.0,4092.0,901.0,1374.0,20495.0,1474.0
43,5528.0,2727.0,746.0,1581.0,14691.0,1585.0
44,3799.0,4456.0,3357.0,1778.0,7861.0,402.0
45,4257.0,2581.0,1076.0,1141.0,3679.0,1474.0
46,2253.0,2444.0,2878.0,1371.0,4635.0,2528.0
47,2332.0,2568.0,4991.0,1812.0,3717.0,2184.0
48,1759.0,2100.0,2713.0,1949.0,3925.0,1877.0
49,2263.0,3819.0,2944.0,2066.0,3361.0,2041.0
50,3336.0,4902.0,2103.0,1472.0,9689.0,2466.0
51,2594.0,1950.0,2923.0,1128.0,3349.0,1882.0
52,2446.0,3192.0,2429.0,2102.0,2290.0,1287.0
53,1711.0,1624.0,2263.0,1675.0,12665.0,2097.0
54,2631.0,2896.0,2223.0,1383.0,9199.0,3332.0
55,3979.0,3353.0,1167.0,1011.0,10920.0,1307.0
56,1594.0,4144.0,2143.0,3676.0,2709.0,1364.0
57,2636.0,1962.0,2682.0,1171.0,3981.0,1886.0
58,2813.0,1937.0,2503.0,1218.0,1560.0,964.0
59,1305.0,1082.0,4619.0,1195.0,1720.0,957.0
60,3157.0,4888.0,1988.0,1352.0,3461.0,1445.0
61,4210.0,4208.0,2471.0,1193.0,6479.0,573.0
62,1635.0,3181.0,3608.0,2490.0,3080.0,1719.0
