,Number; SEX AND AGE - Female population - 15 to 19 years,Number; SEX AND AGE - Female population - 20 to 24 years,Number; RACE - Total population - One Race,Number; RACE - Total population - One Race - Asian,Number; RACE - Total population - One Race - Asian - Asian Indian,Number; RACE - Total population - One Race - Asian - Korean,Number; RACE - Total population - One Race - Asian - Vietnamese,Number; RACE - Total population - One Race - Native Hawaiian and Other Pacific Islander - Guamanian or Chamorro,Number; RACE - Total population - Two or More Races - White; American Indian and Alaska Native [3],Number; RACE - Total population - Two or More Races - White; Black or African American [3],Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Cuban,Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino [5],Number; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino - Black or African American alone,Number; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some Other Race alone,Number; RELATIONSHIP - Total population - In households - Nonrelatives,Number; RELATIONSHIP - Total population - In households - Nonrelatives - Under 18 years,Number; RELATIONSHIP - Total population - In households - Nonrelatives - 65 years and over,Number; RELATIONSHIP - Total population - In households - Nonrelatives - Unmarried partner,Number; RELATIONSHIP - Total population - In group quarters - Institutionalized population,Number; RELATIONSHIP - Total population - In group quarters - Institutionalized population - Female,Number; RELATIONSHIP - Total population - In group quarters - Noninstitutionalized population,Number; HOUSEHOLDS BY TYPE - Total households - Family households (families) [7] - Husband-wife family - With own children under 18 years,"Number; HOUSEHOLDS BY TYPE - Total households - Family households (families) [7] - Male householder, no wife present","Number; HOUSEHOLDS BY TYPE - Total households - Family households (families) [7] - Female householder, no husband present","Number; HOUSING OCCUPANCY - Total housing units - Vacant housing units - Rented, not occupied","Number; HOUSING OCCUPANCY - Total housing units - Vacant housing units - Sold, not occupied",Number; HOUSING OCCUPANCY - Total housing units - Rental vacancy rate (percent) [9]
0,23842.0,21906.0,672884.0,9106.0,1447.0,316.0,2831.0,105.0,3095.0,2590.0,852.0,6121.0,976.0,709.0,29702.0,2380.0,1384.0,13784.0,8542.0,2086.0,4274.0,48297.0,12490.0,43411.0,593.0,1354.0,16.2
1,23842.0,21906.0,672884.0,9106.0,1447.0,316.0,2831.0,105.0,3095.0,2590.0,852.0,6121.0,976.0,709.0,29702.0,2380.0,1384.0,13784.0,8542.0,2086.0,4274.0,48297.0,12490.0,43411.0,593.0,1354.0,16.2
2,23388.0,23585.0,671767.0,7531.0,1434.0,2078.0,801.0,307.0,2924.0,3296.0,558.0,6007.0,1152.0,540.0,29248.0,2273.0,1090.0,13306.0,17155.0,5499.0,5322.0,48009.0,12462.0,42783.0,527.0,1321.0,11.1
3,25295.0,27573.0,672845.0,7839.0,1607.0,2392.0,511.0,207.0,2669.0,3161.0,633.0,4088.0,1067.0,563.0,33676.0,2351.0,1184.0,13323.0,10998.0,3062.0,7841.0,48032.0,12675.0,40416.0,571.0,1517.0,12.0
4,22391.0,19329.0,671899.0,3078.0,832.0,258.0,334.0,455.0,5306.0,2590.0,401.0,11692.0,470.0,426.0,25021.0,2889.0,1127.0,11959.0,6738.0,3239.0,1893.0,54057.0,12975.0,32978.0,440.0,1727.0,10.7
5,23597.0,22280.0,668049.0,10749.0,2951.0,1840.0,1097.0,284.0,4892.0,3912.0,631.0,6741.0,1141.0,697.0,26260.0,2049.0,859.0,11983.0,8239.0,2493.0,7331.0,55446.0,11823.0,34028.0,448.0,1181.0,9.8
6,21295.0,20684.0,674459.0,10845.0,3429.0,1049.0,1383.0,194.0,2166.0,2111.0,639.0,6703.0,556.0,654.0,24930.0,1968.0,886.0,10054.0,7820.0,2325.0,3422.0,62424.0,10197.0,29308.0,452.0,863.0,11.0
7,28512.0,32445.0,676582.0,4447.0,1336.0,387.0,441.0,222.0,901.0,2006.0,350.0,5050.0,1512.0,441.0,36637.0,2083.0,1314.0,14344.0,7512.0,3674.0,18729.0,31926.0,13525.0,64813.0,730.0,1264.0,13.0
8,24962.0,24713.0,658356.0,38135.0,1218.0,4684.0,960.0,380.0,26127.0,4685.0,927.0,12178.0,1314.0,1111.0,48709.0,4040.0,1675.0,22087.0,6458.0,1832.0,19894.0,58487.0,15455.0,27737.0,667.0,1006.0,6.6
9,21696.0,23928.0,682867.0,20037.0,2252.0,2515.0,2775.0,515.0,4523.0,4836.0,1210.0,19249.0,2503.0,1089.0,46046.0,3229.0,3240.0,21314.0,10977.0,2189.0,6268.0,46325.0,14083.0,33831.0,583.0,1081.0,11.5
