,Percent; SEX AND AGE - Total population,Percent; SEX AND AGE - Male population,Percent; SEX AND AGE - Male population - 65 to 69 years,Percent; SEX AND AGE - Female population - 20 to 24 years,Percent; SEX AND AGE - Female population - 40 to 44 years,Percent; RACE - Total population,Percent; RACE - Total population - One Race - Asian,Percent; RACE - Total population - One Race - Asian - Asian Indian,Percent; RACE - Total population - One Race - Asian - Korean,Percent; RACE - Total population - One Race - Asian - Vietnamese,Percent; RACE - Total population - One Race - Native Hawaiian and Other Pacific Islander - Guamanian or Chamorro,Percent; RACE - Total population - Two or More Races - White; American Indian and Alaska Native [3],Percent; RACE - Total population - Two or More Races - White; Black or African American [3],Percent; HISPANIC OR LATINO - Total population,Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Cuban,Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino [5],Percent; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino - Black or African American alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some Other Race alone,Percent; RELATIONSHIP - Total population,Percent; RELATIONSHIP - Total population - In households - Spouse [6],Percent; RELATIONSHIP - Total population - In households - Child - Own child under 18 years,Percent; RELATIONSHIP - Total population - In households - Nonrelatives,Percent; RELATIONSHIP - Total population - In households - Nonrelatives - Under 18 years,Percent; RELATIONSHIP - Total population - In households - Nonrelatives - 65 years and over,Percent; RELATIONSHIP - Total population - In households - Nonrelatives - Unmarried partner,Percent; RELATIONSHIP - Total population - In group quarters - Institutionalized population,Percent; RELATIONSHIP - Total population - In group quarters - Institutionalized population - Female,Percent; RELATIONSHIP - Total population - In group quarters - Noninstitutionalized population,Percent; HOUSEHOLDS BY TYPE - Total households,Percent; HOUSING OCCUPANCY - Total housing units,Percent; HOUSING OCCUPANCY - Total housing units - Occupied housing units,Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units - For rent,"Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units - Rented, not occupied",Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units - For sale only,"Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units - Sold, not occupied",Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units - All other vacants,Percent; HOUSING TENURE - Occupied housing units
0,100.0,48.5,2.2,3.2,3.3,100.0,1.3,0.2,0.0,0.4,0.0,0.5,0.4,100.0,0.1,0.9,100.0,0.1,0.1,100.0,18.6,20.5,4.3,0.3,0.2,2.0,1.3,0.3,0.6,100.0,100.0,82.2,4.9,0.2,1.9,0.4,4.0,100.0
1,100.0,48.5,2.2,3.2,3.3,100.0,1.3,0.2,0.0,0.4,0.0,0.5,0.4,100.0,0.1,0.9,100.0,0.1,0.1,100.0,18.6,20.5,4.3,0.3,0.2,2.0,1.3,0.3,0.6,100.0,100.0,82.2,4.9,0.2,1.9,0.4,4.0,100.0
2,100.0,48.7,2.1,3.5,3.3,100.0,1.1,0.2,0.3,0.1,0.0,0.4,0.5,100.0,0.1,0.9,100.0,0.2,0.1,100.0,18.5,20.4,4.3,0.3,0.2,1.9,2.5,0.8,0.8,100.0,100.0,87.2,3.5,0.2,1.4,0.4,4.7,100.0
3,100.0,48.8,2.1,4.0,3.3,100.0,1.1,0.2,0.4,0.1,0.0,0.4,0.5,100.0,0.1,0.6,100.0,0.2,0.1,100.0,18.8,19.4,4.9,0.3,0.2,2.0,1.6,0.4,1.1,100.0,100.0,85.4,3.5,0.2,1.8,0.5,4.4,100.0
4,100.0,49.0,2.4,2.8,3.3,100.0,0.5,0.1,0.0,0.0,0.1,0.8,0.4,100.0,0.1,1.7,100.0,0.1,0.1,100.0,21.1,20.1,3.7,0.4,0.2,1.8,1.0,0.5,0.3,100.0,100.0,87.0,2.7,0.1,1.5,0.6,5.3,100.0
5,100.0,49.1,2.0,3.3,3.5,100.0,1.6,0.4,0.3,0.2,0.0,0.7,0.6,100.0,0.1,1.0,100.0,0.2,0.1,100.0,20.5,20.8,3.8,0.3,0.1,1.8,1.2,0.4,1.1,100.0,100.0,90.8,2.9,0.1,1.5,0.4,3.1,100.0
6,100.0,48.6,1.9,3.0,3.5,100.0,1.6,0.5,0.2,0.2,0.0,0.3,0.3,100.0,0.1,1.0,100.0,0.1,0.1,100.0,21.5,21.6,3.7,0.3,0.1,1.5,1.1,0.3,0.5,100.0,100.0,90.7,2.7,0.2,1.9,0.3,2.8,100.0
7,100.0,47.0,1.7,4.8,3.1,100.0,0.7,0.2,0.1,0.1,0.0,0.1,0.3,100.0,0.1,0.7,100.0,0.2,0.1,100.0,13.1,18.6,5.4,0.3,0.2,2.1,1.1,0.5,2.7,100.0,100.0,84.4,5.1,0.2,1.5,0.4,6.5,100.0
8,100.0,52.0,1.6,3.5,3.2,100.0,5.4,0.2,0.7,0.1,0.1,3.7,0.7,100.0,0.1,1.7,100.0,0.2,0.2,100.0,18.0,23.3,6.9,0.6,0.2,3.1,0.9,0.3,2.8,100.0,100.0,84.1,2.2,0.2,0.9,0.3,3.2,100.0
9,100.0,49.3,2.4,3.4,2.9,100.0,2.8,0.3,0.4,0.4,0.1,0.6,0.7,100.0,0.2,2.7,100.0,0.4,0.2,100.0,18.7,18.7,6.5,0.5,0.5,3.0,1.5,0.3,0.9,100.0,100.0,87.9,4.2,0.2,1.7,0.3,2.4,100.0
