,Percent; SEX AND AGE - Total population,Percent; RACE - Total population,Percent; RACE - Total population - Two or More Races - White; American Indian and Alaska Native [3],Percent; RACE - Total population - Two or More Races - White; Black or African American [3],Percent; HISPANIC OR LATINO - Total population,Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Cuban,Percent; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some Other Race alone,Percent; RELATIONSHIP - Total population,Percent; RELATIONSHIP - Total population - In households - Spouse [6],Percent; RELATIONSHIP - Total population - In group quarters - Institutionalized population,Percent; RELATIONSHIP - Total population - In group quarters - Institutionalized population - Female,Percent; HOUSEHOLDS BY TYPE - Total households,Percent; HOUSING OCCUPANCY - Total housing units,Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units - For sale only,"Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units - Sold, not occupied",Percent; HOUSING TENURE - Occupied housing units
0,100.0,100.0,0.5,0.4,100.0,0.1,100.0,0.1,100.0,18.6,1.3,0.3,100.0,100.0,1.9,0.4,100.0
1,100.0,100.0,0.5,0.4,100.0,0.1,100.0,0.1,100.0,18.6,1.3,0.3,100.0,100.0,1.9,0.4,100.0
2,100.0,100.0,0.4,0.5,100.0,0.1,100.0,0.1,100.0,18.5,2.5,0.8,100.0,100.0,1.4,0.4,100.0
3,100.0,100.0,0.4,0.5,100.0,0.1,100.0,0.1,100.0,18.8,1.6,0.4,100.0,100.0,1.8,0.5,100.0
4,100.0,100.0,0.8,0.4,100.0,0.1,100.0,0.1,100.0,21.1,1.0,0.5,100.0,100.0,1.5,0.6,100.0
5,100.0,100.0,0.7,0.6,100.0,0.1,100.0,0.1,100.0,20.5,1.2,0.4,100.0,100.0,1.5,0.4,100.0
6,100.0,100.0,0.3,0.3,100.0,0.1,100.0,0.1,100.0,21.5,1.1,0.3,100.0,100.0,1.9,0.3,100.0
7,100.0,100.0,0.1,0.3,100.0,0.1,100.0,0.1,100.0,13.1,1.1,0.5,100.0,100.0,1.5,0.4,100.0
8,100.0,100.0,3.7,0.7,100.0,0.1,100.0,0.2,100.0,18.0,0.9,0.3,100.0,100.0,0.9,0.3,100.0
9,100.0,100.0,0.6,0.7,100.0,0.2,100.0,0.2,100.0,18.7,1.5,0.3,100.0,100.0,1.7,0.3,100.0
10,100.0,100.0,0.6,0.7,100.0,0.2,100.0,0.2,100.0,18.7,1.5,0.3,100.0,100.0,1.7,0.3,100.0
11,100.0,100.0,0.5,0.5,100.0,0.1,100.0,0.1,100.0,15.3,1.8,0.2,100.0,100.0,2.3,0.4,100.0
12,100.0,100.0,0.7,0.4,100.0,0.1,100.0,0.1,100.0,21.0,3.1,0.2,100.0,100.0,2.9,0.5,100.0
13,100.0,100.0,0.4,0.6,100.0,0.1,100.0,0.1,100.0,20.9,0.2,0.1,100.0,100.0,2.4,0.4,100.0
14,100.0,100.0,0.4,0.5,100.0,0.2,100.0,0.1,100.0,19.6,0.3,0.2,100.0,100.0,2.4,0.4,100.0
15,100.0,100.0,0.4,0.6,100.0,0.3,100.0,0.1,100.0,12.1,1.4,0.2,100.0,100.0,2.3,0.3,100.0
16,100.0,100.0,0.4,0.6,100.0,0.1,100.0,0.1,100.0,21.1,1.1,0.8,100.0,100.0,2.7,0.5,100.0
17,100.0,100.0,0.5,0.4,100.0,0.0,100.0,0.0,100.0,19.3,3.0,0.7,100.0,100.0,1.3,0.4,100.0
18,100.0,100.0,0.5,0.6,100.0,0.1,100.0,0.1,100.0,18.9,1.1,0.5,100.0,100.0,1.2,0.3,100.0
19,100.0,100.0,1.2,0.4,100.0,0.1,100.0,0.1,100.0,20.0,0.8,0.4,100.0,100.0,1.9,0.4,100.0
20,100.0,100.0,1.9,0.4,100.0,0.1,100.0,0.2,100.0,19.1,2.2,0.3,100.0,100.0,1.5,0.3,100.0
21,100.0,100.0,1.4,0.4,100.0,0.1,100.0,0.3,100.0,18.6,1.8,0.3,100.0,100.0,0.9,0.3,100.0
22,100.0,100.0,1.1,0.8,100.0,0.1,100.0,0.3,100.0,17.5,2.0,0.3,100.0,100.0,1.4,0.3,100.0
23,100.0,100.0,1.2,0.3,100.0,0.1,100.0,0.2,100.0,21.9,1.6,0.2,100.0,100.0,1.6,0.3,100.0
24,100.0,100.0,0.8,0.6,100.0,0.1,100.0,0.2,100.0,17.4,1.1,0.3,100.0,100.0,1.4,0.3,100.0
25,100.0,100.0,0.8,1.2,100.0,0.1,100.0,0.3,100.0,14.2,0.6,0.2,100.0,100.0,1.3,0.2,100.0
26,100.0,100.0,0.8,1.0,100.0,0.1,100.0,0.2,100.0,18.3,1.3,0.2,100.0,100.0,1.4,0.3,100.0
27,100.0,100.0,0.9,0.8,100.0,0.3,100.0,0.2,100.0,17.3,1.2,0.2,100.0,100.0,2.2,0.5,100.0
28,100.0,100.0,0.7,0.7,100.0,0.1,100.0,0.2,100.0,16.7,0.7,0.3,100.0,100.0,1.7,0.3,100.0
29,100.0,100.0,0.9,0.5,100.0,0.1,100.0,0.2,100.0,17.4,1.1,0.3,100.0,100.0,1.6,0.3,100.0
30,100.0,100.0,0.5,0.6,100.0,0.2,100.0,0.3,100.0,18.6,0.6,0.3,100.0,100.0,1.2,0.3,100.0
31,100.0,100.0,0.4,0.5,100.0,0.2,100.0,0.3,100.0,13.3,0.7,0.3,100.0,100.0,0.8,0.2,100.0
32,100.0,100.0,0.5,0.9,100.0,0.2,100.0,0.3,100.0,14.2,0.6,0.3,100.0,100.0,0.9,0.3,100.0
