,Estimate; MARITAL STATUS - Never married.1,Estimate; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Same county,Estimate; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county - Same state
0,74872.0,74999.0,11211.0
1,74872.0,74999.0,11211.0
2,75432.0,52925.0,28388.0
3,73131.0,63601.0,29586.0
4,57811.0,59480.0,22962.0
5,72152.0,55765.0,17901.0
6,66379.0,47727.0,27291.0
7,118108.0,73302.0,25188.0
8,78101.0,73247.0,17366.0
9,77549.0,96739.0,12777.0
10,77549.0,96739.0,12777.0
11,94004.0,95836.0,11613.0
12,57953.0,75295.0,29452.0
13,66650.0,83503.0,13594.0
14,84032.0,100727.0,4960.0
15,112393.0,117787.0,4907.0
16,69432.0,71923.0,3841.0
17,65721.0,68668.0,25687.0
18,87801.0,60102.0,19621.0
19,67848.0,85199.0,29569.0
20,71192.0,75693.0,31700.0
21,79707.0,58684.0,28252.0
22,87446.0,89061.0,32662.0
23,61461.0,53716.0,31317.0
24,90490.0,84831.0,23294.0
25,109862.0,112133.0,24342.0
26,81434.0,96073.0,21306.0
27,82460.0,85632.0,21612.0
28,89393.0,92798.0,21323.0
29,81073.0,85553.0,30919.0
30,86089.0,61484.0,27747.0
31,133805.0,54054.0,28093.0
32,123632.0,71790.0,33655.0
33,91695.0,46668.0,32648.0
34,83983.0,63459.0,24668.0
35,102982.0,98691.0,23323.0
36,71760.0,59439.0,18326.0
37,84113.0,53819.0,22421.0
38,94276.0,79281.0,17782.0
39,96227.0,66960.0,25880.0
40,82940.0,82944.0,35600.0
41,88937.0,86678.0,18386.0
42,77332.0,88370.0,19789.0
43,97448.0,100889.0,34688.0
44,86860.0,84671.0,11637.0
45,85713.0,59218.0,17253.0
46,103415.0,61172.0,10792.0
47,115024.0,73017.0,6921.0
48,112086.0,69103.0,4131.0
49,96874.0,79027.0,9620.0
50,100552.0,85592.0,29072.0
51,108103.0,67849.0,12909.0
52,109842.0,75076.0,15374.0
53,125099.0,82273.0,7208.0
54,106220.0,57011.0,28913.0
55,72720.0,92262.0,21029.0
56,142885.0,73398.0,8613.0
57,104341.0,51857.0,9854.0
58,92001.0,53082.0,22449.0
59,118513.0,67099.0,4243.0
60,105929.0,84102.0,32416.0
61,79674.0,60021.0,28680.0
62,115577.0,80323.0,5618.0
63,118749.0,83983.0,4719.0
64,84421.0,77501.0,21459.0
65,101966.0,78182.0,12227.0
66,111093.0,85627.0,17033.0
67,90127.0,71163.0,17307.0
68,69764.0,72528.0,14800.0
69,80223.0,71612.0,9341.0
70,99716.0,85186.0,12469.0
71,96155.0,78786.0,18381.0
72,109266.0,80489.0,12507.0
73,112640.0,70099.0,55951.0
74,95260.0,76854.0,34531.0
75,68098.0,71201.0,25038.0
76,69009.0,87019.0,17640.0
77,78431.0,59752.0,43236.0
78,79133.0,67983.0,47186.0
79,99833.0,57777.0,11630.0
80,85265.0,40649.0,22625.0
81,106050.0,55603.0,11549.0
82,91349.0,59476.0,5167.0
83,88440.0,57296.0,13146.0
84,118858.0,78219.0,7784.0
85,71674.0,66289.0,23226.0
86,97849.0,84978.0,46572.0
87,86283.0,57281.0,51047.0
88,79305.0,73438.0,19285.0
89,115293.0,101277.0,20962.0
90,73220.0,59981.0,21243.0
91,91958.0,50603.0,38953.0
92,67260.0,64321.0,14596.0
93,89475.0,56787.0,18499.0
94,59933.0,49072.0,26879.0
95,59933.0,49072.0,26879.0
96,65602.0,53952.0,21094.0
97,75244.0,64787.0,16750.0
98,75244.0,64787.0,16750.0
99,107935.0,95160.0,20657.0
100,89438.0,70713.0,17416.0
101,64419.0,63526.0,24103.0
102,55512.0,50721.0,19154.0
103,69729.0,54876.0,24793.0
104,67523.0,65877.0,19404.0
105,67523.0,65877.0,19404.0
106,113564.0,101363.0,18877.0
107,76427.0,53635.0,17625.0
108,89793.0,74487.0,18941.0
109,86278.0,72944.0,17065.0
110,137568.0,67891.0,10770.0
111,85920.0,50202.0,9804.0
112,95146.0,63569.0,8516.0
113,94891.0,66020.0,5552.0
114,84557.0,61612.0,22760.0
115,97219.0,57965.0,34756.0
116,79372.0,54492.0,36571.0
117,107197.0,58637.0,27028.0
118,150554.0,82225.0,50747.0
119,77087.0,49677.0,31691.0
120,72322.0,45159.0,19999.0
121,82272.0,55564.0,33085.0
122,61035.0,34537.0,25088.0
123,92687.0,53456.0,42045.0
124,76173.0,59351.0,40762.0
125,88040.0,49026.0,29571.0
126,98842.0,63456.0,39832.0
127,58691.0,51060.0,26150.0
128,84339.0,64202.0,2190.0
129,80522.0,64161.0,4274.0
130,69358.0,74736.0,29058.0
131,74971.0,78249.0,28108.0
132,126530.0,67610.0,5833.0
133,119802.0,59965.0,8555.0
134,87079.0,51239.0,7573.0
135,108401.0,72461.0,3796.0
136,125038.0,80973.0,10854.0
137,77005.0,36801.0,22618.0
138,161519.0,104125.0,9923.0
139,100362.0,66236.0,5444.0
140,70610.0,57359.0,14294.0
141,83634.0,44222.0,26432.0
142,80135.0,57967.0,24876.0
143,101046.0,82458.0,37248.0
144,66890.0,42019.0,20658.0
145,64257.0,53205.0,25682.0
146,74664.0,53578.0,27638.0
147,80429.0,67238.0,21973.0
148,70067.0,54505.0,29424.0
149,90337.0,55021.0,14216.0
150,75423.0,64936.0,17567.0
151,75325.0,61754.0,18064.0
152,80565.0,67925.0,36278.0
153,75388.0,59825.0,28168.0
154,71292.0,60411.0,30775.0
155,109735.0,79245.0,19414.0
156,68780.0,60959.0,30879.0
157,83565.0,61666.0,21375.0
158,81028.0,65173.0,19737.0
159,80069.0,69611.0,29602.0
160,73703.0,65662.0,30112.0
161,69193.0,61936.0,35294.0
162,75461.0,76684.0,30019.0
163,76498.0,57663.0,16910.0
164,68216.0,79759.0,23430.0
165,62153.0,52623.0,23789.0
166,70360.0,65019.0,27960.0
167,93188.0,74780.0,14122.0
168,70345.0,44044.0,28132.0
169,57968.0,55068.0,24748.0
170,87042.0,80021.0,31205.0
171,92199.0,62207.0,23763.0
172,135630.0,64213.0,20943.0
173,91964.0,76162.0,26683.0
174,89312.0,52178.0,25122.0
175,88414.0,55330.0,28165.0
176,88414.0,55330.0,28165.0
177,73903.0,57808.0,15778.0
178,68789.0,56144.0,21708.0
179,78867.0,40007.0,22934.0
180,109272.0,44929.0,21087.0
181,102686.0,42861.0,19320.0
182,120100.0,61490.0,12764.0
183,97899.0,39124.0,22862.0
184,81711.0,60052.0,14821.0
185,133119.0,64230.0,22017.0
186,99373.0,56068.0,11327.0
187,104996.0,55216.0,16307.0
188,90731.0,56945.0,10575.0
189,94292.0,35456.0,20144.0
190,110382.0,52829.0,22026.0
191,88366.0,47102.0,13344.0
192,176355.0,69342.0,26868.0
193,114392.0,49493.0,27828.0
194,81716.0,43225.0,12285.0
195,62683.0,45992.0,27982.0
196,79151.0,65509.0,34836.0
197,84245.0,76377.0,28863.0
198,76241.0,54827.0,41605.0
199,86335.0,72555.0,13921.0
200,79406.0,63690.0,24415.0
201,72662.0,55225.0,27566.0
202,92255.0,62544.0,35851.0
203,91028.0,59142.0,25162.0
204,64039.0,49571.0,19988.0
205,75677.0,55310.0,23918.0
206,102846.0,86644.0,21894.0
207,124606.0,87171.0,11167.0
208,71586.0,47975.0,27145.0
209,72646.0,38371.0,26561.0
210,68889.0,47320.0,23477.0
211,93005.0,63731.0,33128.0
212,121039.0,89680.0,31726.0
213,67637.0,42393.0,38870.0
214,60372.0,42337.0,21468.0
215,62937.0,49292.0,29538.0
216,83449.0,54553.0,26482.0
217,122001.0,53563.0,21604.0
218,93031.0,57917.0,31745.0
219,85376.0,62333.0,31610.0
220,137000.0,87302.0,31461.0
221,75511.0,51269.0,21515.0
222,69925.0,54177.0,27507.0
223,79153.0,77205.0,37400.0
224,103231.0,83503.0,23083.0
225,71690.0,52730.0,34139.0
226,77289.0,82017.0,37081.0
227,61277.0,65367.0,35337.0
228,61277.0,65367.0,35337.0
229,97860.0,91861.0,34602.0
230,65488.0,70369.0,21443.0
231,76427.0,65744.0,16746.0
232,50172.0,41171.0,22464.0
233,91187.0,141912.0,972.0
234,67263.0,80138.0,14787.0
235,85840.0,120566.0,908.0
236,68323.0,113726.0,8487.0
237,75533.0,48137.0,17663.0
238,73818.0,45339.0,13979.0
239,103370.0,44408.0,18205.0
240,103370.0,44408.0,18205.0
241,91698.0,44663.0,16274.0
242,80733.0,40981.0,11233.0
243,75316.0,28514.0,12961.0
244,79865.0,28030.0,10945.0
245,101973.0,45559.0,21892.0
246,73938.0,25243.0,15740.0
247,121009.0,69239.0,13303.0
248,103604.0,37542.0,10173.0
249,134535.0,47865.0,10574.0
250,85440.0,26245.0,18310.0
251,99775.0,39739.0,17827.0
252,89825.0,70756.0,18063.0
253,79278.0,62594.0,16770.0
254,84713.0,45672.0,12388.0
255,80585.0,34243.0,6005.0
256,93871.0,25926.0,8902.0
257,78101.0,24229.0,14351.0
258,94771.0,22625.0,15439.0
259,128701.0,40511.0,15133.0
260,91585.0,37937.0,11242.0
261,126982.0,48790.0,17971.0
262,147945.0,50201.0,9411.0
263,142058.0,35448.0,11198.0
264,130511.0,52423.0,13535.0
265,100094.0,31076.0,8831.0
266,170743.0,48779.0,21703.0
267,161416.0,44923.0,17702.0
268,109068.0,45192.0,15616.0
269,154992.0,61096.0,16156.0
270,119825.0,45129.0,15013.0
271,95836.0,44143.0,11675.0
272,83868.0,32405.0,18056.0
273,84418.0,48286.0,30410.0
274,111279.0,48567.0,29831.0
275,72786.0,58440.0,25337.0
276,89184.0,54898.0,23709.0
277,85804.0,55989.0,25004.0
278,95566.0,70208.0,20823.0
279,111308.0,84374.0,14666.0
280,114843.0,76640.0,14534.0
