,"Estimate; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family",Estimate; RELATIONSHIP - Spouse,Estimate; RELATIONSHIP - Nonrelatives,Estimate; RELATIONSHIP - Nonrelatives - Unmarried partner,Estimate; MARITAL STATUS - Divorced,Estimate; MARITAL STATUS - Never married.1,Estimate; GRANDPARENTS - Who are female,"Estimate; SCHOOL ENROLLMENT - Nursery school, preschool",Estimate; SCHOOL ENROLLMENT - Elementary school (grades 1-8),Estimate; SCHOOL ENROLLMENT - College or graduate school,Estimate; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),"Estimate; EDUCATIONAL ATTAINMENT - Some college, no degree",Estimate; EDUCATIONAL ATTAINMENT - Associate's degree,Estimate; EDUCATIONAL ATTAINMENT - Graduate or professional degree,Estimate; VETERAN STATUS - Civilian veterans,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability.3,Estimate; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Same county,Estimate; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county - Same state,Estimate; PLACE OF BIRTH - Native - Born in United States,Estimate; PLACE OF BIRTH - Native - Born in United States - State of residence,Estimate; PLACE OF BIRTH - Native - Born in United States - Different state
0,10208.0,128613.0,22867.0,9963.0,31691.0,74872.0,6906.0,9184.0,75522.0,38839.0,154868.0,104202.0,35076.0,35575.0,60852.0,411374.0,44866.0,74999.0,11211.0,667833.0,468685.0,199148.0
1,10208.0,128613.0,22867.0,9963.0,31691.0,74872.0,6906.0,9184.0,75522.0,38839.0,154868.0,104202.0,35076.0,35575.0,60852.0,411374.0,44866.0,74999.0,11211.0,667833.0,468685.0,199148.0
2,9761.0,120463.0,28731.0,11296.0,31335.0,75432.0,5883.0,10067.0,73351.0,44066.0,151411.0,96205.0,35712.0,34776.0,64905.0,402342.0,43161.0,52925.0,28388.0,656118.0,476557.0,179561.0
3,9868.0,130493.0,35475.0,9371.0,33277.0,73131.0,6384.0,11332.0,71882.0,61615.0,147007.0,100074.0,32890.0,36150.0,58506.0,430698.0,42361.0,63601.0,29586.0,675049.0,464499.0,210550.0
4,11880.0,136451.0,25312.0,8657.0,34585.0,57811.0,5940.0,7021.0,72830.0,30522.0,159138.0,98798.0,38295.0,26031.0,50355.0,406989.0,49284.0,59480.0,22962.0,656944.0,518636.0,138308.0
5,10983.0,139149.0,24082.0,9987.0,29522.0,72152.0,5651.0,8342.0,74316.0,50765.0,129821.0,102529.0,31673.0,50893.0,61123.0,430379.0,37859.0,55765.0,17901.0,655011.0,427389.0,227622.0
6,9311.0,143545.0,22564.0,7611.0,28574.0,66379.0,4519.0,11791.0,73615.0,41045.0,115167.0,105251.0,34312.0,62563.0,48716.0,423604.0,35279.0,47727.0,27291.0,648911.0,481658.0,167253.0
7,11067.0,84790.0,29925.0,9394.0,28908.0,118108.0,8847.0,10368.0,64961.0,63327.0,146131.0,98873.0,30597.0,29134.0,40489.0,431949.0,38389.0,73302.0,25188.0,661514.0,548270.0,113244.0
8,13531.0,123493.0,46900.0,19715.0,34734.0,78101.0,4728.0,10865.0,81495.0,51604.0,130277.0,128720.0,38287.0,50565.0,71831.0,460946.0,24444.0,73247.0,17366.0,662902.0,295280.0,367622.0
9,13935.0,132336.0,45131.0,20288.0,38645.0,77549.0,3315.0,6727.0,71266.0,60135.0,103725.0,144703.0,45653.0,69610.0,83262.0,414760.0,45824.0,96739.0,12777.0,636838.0,257460.0,379378.0
10,13935.0,132336.0,45131.0,20288.0,38645.0,77549.0,3315.0,6727.0,71266.0,60135.0,103725.0,144703.0,45653.0,69610.0,83262.0,414760.0,45824.0,96739.0,12777.0,636838.0,257460.0,379378.0
11,14165.0,104076.0,43876.0,19309.0,27479.0,94004.0,6806.0,7794.0,93807.0,58712.0,111602.0,99592.0,30106.0,21437.0,41333.0,424415.0,28375.0,95836.0,11613.0,562288.0,336734.0,225554.0
12,10782.0,151488.0,37264.0,17315.0,39876.0,57953.0,5649.0,4433.0,71063.0,36164.0,153470.0,146812.0,46645.0,34566.0,90195.0,370233.0,55835.0,75295.0,29452.0,648960.0,198456.0,450504.0
13,11904.0,149334.0,39156.0,14532.0,28974.0,66650.0,2651.0,12030.0,93024.0,49259.0,114368.0,134366.0,44168.0,53881.0,62494.0,425709.0,36023.0,83503.0,13594.0,661270.0,261590.0,399680.0
14,16815.0,135071.0,51738.0,16798.0,35677.0,84032.0,2879.0,9231.0,67282.0,53986.0,95919.0,120647.0,41530.0,81545.0,52813.0,459993.0,32739.0,100727.0,4960.0,618683.0,218562.0,400121.0
15,17821.0,80725.0,62223.0,22935.0,24985.0,112393.0,6644.0,7410.0,100092.0,42715.0,111714.0,78674.0,25710.0,21091.0,24969.0,452038.0,19556.0,117787.0,4907.0,523438.0,344792.0,178646.0
16,13154.0,146007.0,32737.0,14627.0,26729.0,69432.0,3173.0,7911.0,86467.0,46681.0,127774.0,143534.0,48149.0,47970.0,70472.0,398861.0,43576.0,71923.0,3841.0,656934.0,248528.0,408406.0
17,12519.0,134740.0,31918.0,14782.0,39156.0,65721.0,6989.0,13220.0,79002.0,41969.0,191671.0,106036.0,31523.0,24608.0,57648.0,415188.0,51593.0,68668.0,25687.0,712521.0,475146.0,237375.0
18,12942.0,134300.0,35570.0,10742.0,31292.0,87801.0,4934.0,13002.0,75423.0,56317.0,157210.0,113905.0,28058.0,48226.0,60115.0,464382.0,35785.0,60102.0,19621.0,713576.0,504354.0,209222.0
19,13128.0,151318.0,32758.0,11809.0,30574.0,67848.0,5490.0,12217.0,85449.0,55466.0,156144.0,109285.0,28129.0,40756.0,54514.0,461692.0,36493.0,85199.0,29569.0,684738.0,376984.0,307754.0
20,15855.0,134177.0,54961.0,19244.0,37857.0,71192.0,2966.0,9188.0,65623.0,56754.0,120571.0,149667.0,49181.0,34607.0,64292.0,420865.0,47305.0,75693.0,31700.0,663769.0,494197.0,169572.0
21,9945.0,128829.0,52396.0,20324.0,33804.0,79707.0,2027.0,10036.0,68484.0,49892.0,96575.0,122758.0,38217.0,79930.0,48550.0,428423.0,38255.0,58684.0,28252.0,595398.0,410062.0,185336.0
22,13168.0,120886.0,52833.0,19087.0,27018.0,87446.0,2939.0,9712.0,78464.0,73255.0,104926.0,120337.0,41480.0,39402.0,51505.0,434917.0,30152.0,89061.0,32662.0,574094.0,430831.0,143263.0
