,Percent; RELATIONSHIP - Nonrelatives,Percent; RELATIONSHIP - Nonrelatives - Unmarried partner,Percent; MARITAL STATUS - Never married,Percent; MARITAL STATUS - Divorced,Percent; GRANDPARENTS - Who are female,Percent; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school,"Percent; SCHOOL ENROLLMENT - Nursery school, preschool",Percent; SCHOOL ENROLLMENT - Kindergarten,Percent; SCHOOL ENROLLMENT - Elementary school (grades 1-8),Percent; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),"Percent; EDUCATIONAL ATTAINMENT - Some college, no degree",Percent; EDUCATIONAL ATTAINMENT - Associate's degree,Percent; EDUCATIONAL ATTAINMENT - Graduate or professional degree,Percent; VETERAN STATUS - Civilian veterans,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over,Percent; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Same county,Percent; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county - Same state,Percent; RESIDENCE 1 YEAR AGO - Abroad,Percent; PLACE OF BIRTH - Native - Born in United States,Percent; PLACE OF BIRTH - Native - Born in United States - State of residence,Percent; PLACE OF BIRTH - Native - Born in United States - Different state,"Percent; PLACE OF BIRTH - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Percent; U.S. CITIZENSHIP STATUS - Naturalized U.S. citizen,Percent; YEAR OF ENTRY - Entered 2010 or later,Percent; YEAR OF ENTRY - Entered 2010 or later.1
0,3.4,1.5,32.1,11.8,61.8,171081.0,5.4,5.9,44.1,33.3,22.4,7.6,7.7,11.5,411374.0,102891.0,10.9,1.6,0.3,96.3,67.6,28.7,0.5,31.5,9.9,10.9
1,3.4,1.5,32.1,11.8,61.8,171081.0,5.4,5.9,44.1,33.3,22.4,7.6,7.7,11.5,411374.0,102891.0,10.9,1.6,0.3,96.3,67.6,28.7,0.5,31.5,9.9,10.9
2,4.3,1.7,32.7,12.0,64.0,171288.0,5.9,4.5,42.8,33.1,21.0,7.8,7.6,12.6,402342.0,98615.0,7.9,4.2,0.6,96.0,69.7,26.3,1.1,31.4,3.7,15.1
3,5.2,1.4,32.2,12.2,60.2,187967.0,6.0,4.8,38.2,32.3,22.0,7.2,7.9,10.9,430698.0,94286.0,9.2,4.3,0.3,97.0,66.7,30.2,0.7,36.2,2.2,12.2
4,3.8,1.3,26.7,13.1,62.8,154646.0,4.5,5.5,47.1,34.5,21.4,8.3,5.6,9.6,406989.0,108876.0,8.8,3.4,0.2,96.5,76.2,20.3,0.4,29.1,10.3,10.7
5,3.5,1.5,30.3,10.8,61.2,178049.0,4.7,4.8,41.7,27.6,21.8,6.7,10.8,11.4,430379.0,96392.0,8.1,2.6,0.2,94.0,61.3,32.7,1.4,45.2,4.2,10.0
6,3.3,1.1,27.7,10.7,56.3,173375.0,6.8,5.6,42.5,24.5,22.4,7.3,13.3,9.3,423604.0,93095.0,7.0,4.0,0.4,94.2,69.9,24.3,0.6,31.1,5.2,10.3
7,4.6,1.4,44.9,11.4,73.5,184233.0,5.6,5.0,35.3,33.9,22.9,7.1,6.8,7.7,431949.0,87208.0,10.9,3.7,0.2,96.9,80.3,16.6,0.6,32.3,2.5,12.1
8,6.7,2.8,39.2,11.6,60.9,195535.0,5.6,5.5,41.7,28.0,27.7,8.2,10.9,13.6,460946.0,60928.0,10.2,2.4,0.6,90.6,40.4,50.3,2.2,52.2,3.4,11.7
9,6.4,2.9,33.9,13.1,58.3,182331.0,3.7,4.6,39.1,20.5,28.6,9.0,13.7,14.8,414760.0,133334.0,13.4,1.8,0.7,87.6,35.4,52.2,1.8,45.8,3.8,7.4
