,Percent; HOUSEHOLDS BY TYPE - Total households,Percent; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family - With own children under 18 years,"Percent; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family","Percent; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family - With own children under 18 years","Percent; HOUSEHOLDS BY TYPE - Family households (families) - Female householder, no husband present, family",Percent; HOUSEHOLDS BY TYPE - Nonfamily households,Percent; HOUSEHOLDS BY TYPE - Nonfamily households - Householder living alone - 65 years and over,Percent; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years,Percent; RELATIONSHIP - Householder,Percent; RELATIONSHIP - Spouse,Percent; RELATIONSHIP - Child,Percent; RELATIONSHIP - Other relatives,Percent; RELATIONSHIP - Nonrelatives,Percent; RELATIONSHIP - Nonrelatives - Unmarried partner,Percent; MARITAL STATUS - Males 15 years and over,Percent; MARITAL STATUS - Never married,Percent; MARITAL STATUS - Separated,Percent; MARITAL STATUS - Widowed,Percent; MARITAL STATUS - Divorced,Percent; MARITAL STATUS - Females 15 years and over,Percent; MARITAL STATUS - Separated.1,Percent; MARITAL STATUS - Widowed.1,Percent; MARITAL STATUS - Divorced.1,Percent; GRANDPARENTS - Who are female,Percent; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school,"Percent; SCHOOL ENROLLMENT - Nursery school, preschool",Percent; SCHOOL ENROLLMENT - Kindergarten,Percent; SCHOOL ENROLLMENT - Elementary school (grades 1-8),Percent; SCHOOL ENROLLMENT - High school (grades 9-12),Percent; EDUCATIONAL ATTAINMENT - Less than 9th grade,"Percent; EDUCATIONAL ATTAINMENT - 9th to 12th grade, no diploma",Percent; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),"Percent; EDUCATIONAL ATTAINMENT - Some college, no degree",Percent; EDUCATIONAL ATTAINMENT - Associate's degree,Percent; EDUCATIONAL ATTAINMENT - Graduate or professional degree,Percent; VETERAN STATUS - Civilian veterans,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability.1,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability.3,Percent; RESIDENCE 1 YEAR AGO - Population 1 year and over,Percent; RESIDENCE 1 YEAR AGO - Different house in the U.S.,Percent; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Same county,Percent; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county,Percent; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county - Same state,Percent; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county - Different state,Percent; RESIDENCE 1 YEAR AGO - Abroad,Percent; PLACE OF BIRTH - Native - Born in United States,Percent; PLACE OF BIRTH - Native - Born in United States - State of residence,Percent; PLACE OF BIRTH - Native - Born in United States - Different state,"Percent; PLACE OF BIRTH - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Percent; U.S. CITIZENSHIP STATUS - Naturalized U.S. citizen,Percent; YEAR OF ENTRY - Entered 2010 or later,Percent; YEAR OF ENTRY - Entered 2010 or later.1
0,268109.0,17.6,3.8,1.5,16.8,31.3,10.1,32.2,39.6,19.0,30.3,7.6,3.4,1.5,267684.0,32.1,1.9,2.6,11.8,290172.0,3.5,10.6,12.9,61.8,171081.0,5.4,5.9,44.1,21.9,4.4,10.2,33.3,22.4,7.6,7.7,11.5,16.4,164349.0,4.2,411374.0,102891.0,43.6,685496.0,14.6,10.9,3.7,1.6,2.0,0.3,96.3,67.6,28.7,0.5,31.5,9.9,10.9
1,268109.0,17.6,3.8,1.5,16.8,31.3,10.1,32.2,39.6,19.0,30.3,7.6,3.4,1.5,267684.0,32.1,1.9,2.6,11.8,290172.0,3.5,10.6,12.9,61.8,171081.0,5.4,5.9,44.1,21.9,4.4,10.2,33.3,22.4,7.6,7.7,11.5,16.4,164349.0,4.2,411374.0,102891.0,43.6,685496.0,14.6,10.9,3.7,1.6,2.0,0.3,96.3,67.6,28.7,0.5,31.5,9.9,10.9
2,262364.0,16.1,3.7,1.6,15.9,34.5,10.6,30.9,39.5,18.1,30.6,7.5,4.3,1.7,260687.0,32.7,2.3,3.3,12.0,286510.0,2.9,11.2,14.7,64.0,171288.0,5.9,4.5,42.8,21.1,6.1,10.3,33.1,21.0,7.8,7.6,12.6,18.0,161849.0,6.3,402342.0,98615.0,43.8,674176.0,15.1,7.9,7.2,4.2,3.0,0.6,96.0,69.7,26.3,1.1,31.4,3.7,15.1
3,269516.0,17.8,3.7,1.4,15.1,32.8,9.5,32.0,39.8,19.3,28.9,6.8,5.2,1.4,271998.0,32.2,1.8,3.2,12.2,290985.0,3.5,10.3,13.6,60.2,187967.0,6.0,4.8,38.2,18.1,5.8,12.4,32.3,22.0,7.2,7.9,10.9,17.1,158249.0,4.0,430698.0,94286.0,44.9,688648.0,16.3,9.2,7.1,4.3,2.8,0.3,97.0,66.7,30.2,0.7,36.2,2.2,12.2
4,258068.0,17.8,4.6,2.5,12.5,30.3,11.8,30.5,38.4,20.3,30.6,6.9,3.8,1.3,264895.0,26.7,1.3,3.5,13.1,283985.0,2.6,12.6,13.9,62.8,154646.0,4.5,5.5,47.1,23.1,7.7,12.8,34.5,21.4,8.3,5.6,9.6,18.9,158720.0,4.8,406989.0,108876.0,45.3,674143.0,13.4,8.8,4.5,3.4,1.1,0.2,96.5,76.2,20.3,0.4,29.1,10.3,10.7
5,269229.0,19.1,4.1,1.6,11.3,33.0,10.4,30.6,39.5,20.4,30.7,5.9,3.5,1.5,273955.0,30.3,1.5,2.5,10.8,290497.0,2.7,9.6,13.2,61.2,178049.0,4.7,4.8,41.7,20.3,4.3,9.5,27.6,21.8,6.7,10.8,11.4,14.0,160025.0,3.4,430379.0,96392.0,39.3,688504.0,13.2,8.1,5.1,2.6,2.5,0.2,94.0,61.3,32.7,1.4,45.2,4.2,10.0
6,261687.0,23.3,3.6,1.3,10.7,30.9,9.5,33.5,38.6,21.2,31.1,5.8,3.3,1.1,266004.0,27.7,1.4,2.9,10.7,285665.0,2.1,8.9,13.3,56.3,173375.0,6.8,5.6,42.5,21.5,3.8,8.0,24.5,22.4,7.3,13.3,9.3,13.1,164354.0,3.7,423604.0,93095.0,37.9,681153.0,12.8,7.0,5.8,4.0,1.8,0.4,94.2,69.9,24.3,0.6,31.1,5.2,10.3
7,256196.0,10.9,4.3,1.5,23.3,39.2,11.0,29.8,39.0,12.9,32.1,11.4,4.6,1.4,253670.0,44.9,2.9,3.2,11.4,299353.0,3.7,11.6,14.2,73.5,184233.0,5.6,5.0,35.3,19.7,5.4,11.7,33.9,22.9,7.1,6.8,7.7,17.4,155454.0,4.7,431949.0,87208.0,44.0,672308.0,16.7,10.9,5.8,3.7,2.0,0.2,96.9,80.3,16.6,0.6,32.3,2.5,12.1
8,251651.0,21.7,5.4,2.9,11.8,33.9,6.0,35.8,35.7,17.5,32.8,7.3,6.7,2.8,300043.0,39.2,1.5,1.9,11.6,274355.0,2.5,5.9,13.3,60.9,195535.0,5.6,5.5,41.7,20.9,3.0,5.0,28.0,27.7,8.2,10.9,13.6,11.0,187072.0,2.5,460946.0,60928.0,40.1,721186.0,17.2,10.2,7.0,2.4,4.6,0.6,90.6,40.4,50.3,2.2,52.2,3.4,11.7
9,300327.0,15.0,4.6,2.9,10.4,40.9,13.1,25.8,42.7,18.8,26.3,5.7,6.4,2.9,296055.0,33.9,1.7,3.1,13.1,304824.0,2.0,11.0,14.9,58.3,182331.0,3.7,4.6,39.1,19.6,3.7,6.0,20.5,28.6,9.0,13.7,14.8,14.5,152655.0,3.8,414760.0,133334.0,34.4,719337.0,18.7,13.4,5.2,1.8,3.4,0.7,87.6,35.4,52.2,1.8,45.8,3.8,7.4
