,Percent; MARITAL STATUS - Never married,"Percent; SCHOOL ENROLLMENT - Nursery school, preschool",Percent; SCHOOL ENROLLMENT - Kindergarten,Percent; SCHOOL ENROLLMENT - Elementary school (grades 1-8),Percent; EDUCATIONAL ATTAINMENT - Associate's degree,Percent; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Same county,Percent; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county - Same state,Percent; PLACE OF BIRTH - Native - Born in United States,"Percent; PLACE OF BIRTH - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Percent; U.S. CITIZENSHIP STATUS - Naturalized U.S. citizen,Percent; YEAR OF ENTRY - Entered 2010 or later,Percent; YEAR OF ENTRY - Entered 2010 or later.1
0,32.1,5.4,5.9,44.1,7.6,10.9,1.6,96.3,0.5,31.5,9.9,10.9
1,32.1,5.4,5.9,44.1,7.6,10.9,1.6,96.3,0.5,31.5,9.9,10.9
2,32.7,5.9,4.5,42.8,7.8,7.9,4.2,96.0,1.1,31.4,3.7,15.1
3,32.2,6.0,4.8,38.2,7.2,9.2,4.3,97.0,0.7,36.2,2.2,12.2
4,26.7,4.5,5.5,47.1,8.3,8.8,3.4,96.5,0.4,29.1,10.3,10.7
5,30.3,4.7,4.8,41.7,6.7,8.1,2.6,94.0,1.4,45.2,4.2,10.0
6,27.7,6.8,5.6,42.5,7.3,7.0,4.0,94.2,0.6,31.1,5.2,10.3
7,44.9,5.6,5.0,35.3,7.1,10.9,3.7,96.9,0.6,32.3,2.5,12.1
8,39.2,5.6,5.5,41.7,8.2,10.2,2.4,90.6,2.2,52.2,3.4,11.7
9,33.9,3.7,4.6,39.1,9.0,13.4,1.8,87.6,1.8,45.8,3.8,7.4
10,33.9,3.7,4.6,39.1,9.0,13.4,1.8,87.6,1.8,45.8,3.8,7.4
11,40.4,3.6,5.0,43.3,7.3,13.5,1.6,78.1,1.0,40.7,8.2,5.5
12,25.8,2.9,6.2,46.5,9.0,10.5,4.1,90.0,0.8,38.4,4.4,10.0
13,28.5,5.8,5.8,45.0,9.1,11.5,1.9,89.7,1.3,49.9,1.9,7.6
14,35.3,5.2,3.2,38.1,8.2,14.1,0.7,85.6,1.2,47.7,11.8,7.9
15,49.3,3.5,6.6,47.0,6.2,16.3,0.7,71.2,0.8,21.9,6.5,4.6
16,29.4,4.1,4.8,44.6,9.7,9.9,0.5,89.9,1.3,57.9,2.1,5.7
17,29.6,7.3,4.7,43.8,6.4,9.5,3.6,97.7,0.5,37.5,1.4,17.7
18,33.5,6.8,5.6,39.2,5.7,8.1,2.7,95.5,0.9,38.3,12.5,9.0
19,30.1,5.9,6.6,41.4,5.8,11.5,4.0,90.7,0.6,28.9,6.1,8.4
20,34.5,5.1,4.1,36.7,10.1,10.7,4.5,93.3,0.7,53.4,4.9,7.1
21,34.4,5.8,5.0,39.8,7.6,8.4,4.1,84.6,1.4,44.5,4.0,5.7
22,37.4,4.5,5.0,36.3,9.3,12.7,4.6,80.6,1.5,47.6,8.2,5.7
23,30.3,5.2,4.5,41.2,10.8,7.7,4.5,90.0,1.2,54.5,3.9,3.1
24,36.8,5.9,5.5,38.2,9.8,12.0,3.3,77.4,1.1,42.6,6.0,5.4
25,42.2,4.6,4.0,37.2,8.6,15.9,3.4,76.3,1.2,52.6,4.0,4.2
26,35.0,5.4,4.3,39.9,9.6,13.5,3.0,80.3,1.2,57.1,7.3,6.8
27,35.5,5.1,5.2,43.2,9.5,12.3,3.1,85.7,1.1,44.2,8.5,3.2
28,38.1,4.6,4.7,42.9,9.8,13.0,3.0,75.7,1.0,48.7,2.8,2.5
29,35.4,4.8,5.9,43.6,8.5,12.2,4.4,78.6,1.6,42.9,2.8,3.6
30,35.4,7.1,4.9,40.1,7.6,8.6,3.9,74.6,1.2,50.1,11.9,4.3
31,52.8,7.2,3.3,25.5,5.3,7.6,4.0,63.2,2.3,57.5,6.2,8.3
32,46.2,6.7,4.3,31.5,6.3,10.1,4.7,71.1,2.0,48.8,11.2,7.7
33,37.3,6.7,5.0,33.8,7.7,6.5,4.6,60.0,2.1,57.1,4.4,5.3
34,33.2,6.2,4.7,40.3,8.2,8.8,3.4,66.6,1.6,58.0,5.3,3.6
35,45.4,4.4,5.2,43.3,7.0,14.0,3.3,73.3,0.6,30.3,4.5,3.4
36,33.2,7.0,6.2,38.1,6.8,8.4,2.6,51.9,1.4,52.8,6.1,8.7
37,35.4,7.3,5.6,37.7,7.1,7.4,3.1,71.2,1.5,49.4,6.7,9.1
38,38.7,5.4,4.8,36.3,8.4,11.2,2.5,63.5,1.3,54.1,5.0,4.9
39,42.9,4.8,4.9,36.9,7.8,9.4,3.6,72.3,1.1,30.5,4.5,3.7
40,44.2,5.5,6.1,45.6,5.4,11.8,5.1,69.1,0.8,23.7,3.3,2.6
41,38.4,4.7,5.9,41.7,8.5,12.2,2.6,81.9,0.6,37.0,11.0,2.6
42,35.7,4.7,5.7,41.3,9.0,12.5,2.8,85.1,0.9,45.2,13.7,4.6
43,40.4,4.4,4.7,31.0,9.1,14.2,4.9,80.6,1.3,37.0,3.9,4.8
44,38.6,5.6,4.4,40.7,9.5,12.0,1.6,77.9,0.8,52.4,10.0,2.4
45,36.5,5.8,5.8,39.4,8.6,8.4,2.5,75.1,1.4,43.3,5.0,4.4
46,40.3,4.8,3.8,32.9,7.5,8.7,1.5,60.8,0.9,62.7,10.2,5.9
47,47.5,7.0,3.8,32.4,7.1,10.1,1.0,57.4,1.1,58.1,8.3,5.3
48,45.9,5.9,5.1,39.6,5.9,9.7,0.6,54.2,0.9,44.3,9.9,3.2
49,38.6,6.8,5.9,36.5,7.5,11.0,1.3,65.3,1.2,57.1,3.4,5.1
50,41.5,3.6,4.7,38.8,7.7,12.0,4.1,77.9,0.8,47.5,7.3,3.3
51,42.9,5.5,4.6,36.6,6.9,9.6,1.8,65.2,0.8,49.9,10.2,2.9
52,40.8,6.5,3.4,31.7,6.5,10.8,2.2,75.8,1.4,59.7,7.9,8.2
53,53.1,5.2,5.2,37.4,4.7,11.8,1.0,49.5,0.9,36.0,13.6,3.3
54,43.2,4.7,5.5,40.4,6.9,8.0,4.1,67.4,0.8,39.5,14.0,2.5
55,36.9,4.2,6.4,43.2,6.5,13.1,3.0,77.4,0.9,39.3,13.0,3.8
56,51.0,6.4,3.6,32.1,5.3,10.3,1.2,67.4,1.0,42.6,3.9,5.9
57,42.1,5.5,4.0,37.2,7.8,7.3,1.4,67.9,1.1,56.3,6.0,2.6
58,37.0,6.0,4.2,34.0,8.2,7.5,3.2,63.8,1.0,56.7,3.8,5.0
59,49.3,5.8,5.6,42.6,4.7,9.8,0.6,57.7,0.5,32.7,8.5,1.7
60,42.6,4.7,5.2,38.6,6.6,11.7,4.5,74.3,0.9,38.3,5.4,2.5
61,35.3,4.4,4.8,43.2,9.6,8.2,3.9,79.7,1.1,54.1,6.3,2.5
62,45.4,5.7,5.1,38.2,7.1,11.7,0.8,67.4,1.1,42.4,3.2,3.4
63,47.6,6.1,4.7,41.2,5.9,11.9,0.7,65.5,0.8,40.4,7.7,1.8
64,35.2,5.7,3.8,34.9,8.3,10.8,3.0,70.7,1.1,58.7,11.3,5.4
65,45.2,5.1,5.7,38.6,5.6,11.0,1.7,58.7,0.7,35.0,7.6,2.4
66,42.7,5.4,4.7,36.7,8.8,12.0,2.4,69.0,1.5,50.8,6.3,4.5
67,37.2,6.6,4.4,36.3,8.3,10.0,2.4,74.0,1.3,62.5,5.5,3.8
68,36.3,6.5,6.3,41.0,11.5,10.3,2.1,80.4,1.6,44.3,3.5,3.6
69,33.0,5.0,4.4,41.8,12.7,10.0,1.3,79.6,1.1,41.7,2.2,4.3
70,45.1,5.6,4.8,40.3,7.6,11.7,1.7,64.6,1.9,43.7,9.6,5.1
71,40.7,6.6,4.2,28.1,7.9,11.3,2.6,75.8,1.7,57.3,13.1,9.3
72,43.9,5.9,3.7,32.4,9.4,11.2,1.7,75.5,2.2,55.5,6.0,6.6
73,43.3,7.7,5.3,38.6,5.6,9.5,7.6,84.5,1.4,34.6,2.3,5.9
74,35.0,5.1,4.6,31.8,7.6,10.4,4.7,92.3,1.4,47.4,6.5,10.4
75,32.3,5.9,5.6,41.1,8.8,10.0,3.5,93.0,0.8,32.7,7.1,5.4
76,34.0,6.0,5.6,38.8,10.9,11.9,2.4,89.3,3.3,50.2,6.0,8.3
77,32.3,7.1,5.3,42.0,8.5,8.1,5.9,82.6,1.6,43.0,8.8,9.3
78,35.5,6.3,4.9,42.0,8.6,9.2,6.4,88.4,1.1,38.6,8.9,6.0
79,38.2,6.8,4.9,37.6,7.8,8.1,1.6,80.9,4.4,52.7,6.4,9.5
80,36.1,5.0,4.4,36.8,8.5,5.8,3.2,90.9,2.3,53.3,4.0,9.0
81,39.8,6.4,3.8,33.8,7.3,7.9,1.6,84.2,3.3,49.5,3.3,9.4
82,35.1,8.6,5.6,41.8,5.7,8.2,0.7,75.8,3.6,40.1,16.8,9.9
83,35.7,7.0,4.7,39.3,7.8,8.1,1.9,81.4,4.4,46.8,3.7,6.4
84,35.0,6.0,4.7,37.8,7.2,8.6,0.9,89.9,1.6,49.1,4.6,7.5
85,32.4,5.8,4.3,39.2,11.3,9.3,3.3,92.7,2.6,53.3,4.2,6.9
86,40.7,4.8,4.0,30.4,8.5,12.1,6.6,93.4,1.5,47.2,1.5,8.5
87,36.1,6.0,4.5,33.3,9.7,8.2,7.3,90.5,2.3,47.6,4.2,12.4
88,34.2,6.3,6.2,37.7,9.2,10.5,2.8,87.8,2.8,50.5,11.9,9.7
89,45.9,6.0,6.3,40.3,8.4,14.4,3.0,83.2,3.4,42.7,8.3,9.6
90,28.4,5.6,5.4,38.5,8.3,8.5,3.0,90.3,1.9,60.3,8.6,6.9
91,38.4,5.1,4.2,33.8,10.7,7.1,5.5,82.8,5.9,60.8,3.9,3.9
92,29.9,6.8,4.9,38.2,10.7,9.2,2.1,87.6,3.3,58.1,18.4,7.0
93,38.3,4.6,4.5,42.2,10.4,7.8,2.6,64.7,15.0,48.6,8.9,6.0
94,23.5,5.4,6.0,41.2,8.8,7.0,3.8,90.7,2.9,64.2,4.1,5.2
95,23.5,5.4,6.0,41.2,8.8,7.0,3.8,90.7,2.9,64.2,4.1,5.2
96,27.2,5.0,5.4,42.2,9.6,7.8,3.1,87.2,2.6,58.2,8.0,7.9
97,31.2,6.8,4.9,39.8,8.9,9.3,2.4,85.0,2.5,54.1,6.6,9.1
98,31.2,6.8,4.9,39.8,8.9,9.3,2.4,85.0,2.5,54.1,6.6,9.1
99,43.2,5.2,5.9,39.7,8.9,13.0,2.8,77.0,4.3,45.1,8.9,8.0
